turn is 121, now time is 6748.077106952667, scover line is 69835
turn is 122, now time is 6770.587958097458, scover line is 69838
turn is 123, now time is 6794.356342077255, scover line is 70094
turn is 124, now time is 6817.601696014404, scover line is 70655
turn is 125, now time is 6841.132607936859, scover line is 70655
turn is 126, now time is 6933.441979885101, scover line is 70670
turn is 127, now time is 6957.055989980698, scover line is 70670
turn is 128, now time is 6984.0024700164795, scover line is 70670
turn is 129, now time is 7015.85293006897, scover line is 70670
turn is 130, now time is 7278.183712005615, scover line is 70670
turn is 131, now time is 7301.544131040573, scover line is 70670
turn is 132, now time is 7325.205023050308, scover line is 70670
turn is 133, now time is 7348.724934101105, scover line is 70671
turn is 134, now time is 7372.413333892822, scover line is 70673
turn is 135, now time is 7494.95832490921, scover line is 70673
turn is 136, now time is 7518.542963981628, scover line is 70673
turn is 137, now time is 7620.695022106171, scover line is 70673
turn is 138, now time is 7644.062642097473, scover line is 70673
turn is 139, now time is 7667.502419948578, scover line is 70692
turn is 140, now time is 7828.928962945938, scover line is 70692
turn is 141, now time is 7852.663893938065, scover line is 70716
turn is 142, now time is 7876.172213077545, scover line is 70716
turn is 143, now time is 7899.933219909668, scover line is 70716
turn is 144, now time is 7923.586163043976, scover line is 70729
turn is 145, now time is 8044.8338940143585, scover line is 70729
turn is 146, now time is 8226.988691091537, scover line is 70729
turn is 147, now time is 8408.374711036682, scover line is 70729
turn is 148, now time is 8490.922318935394, scover line is 70729
turn is 149, now time is 8662.521012067795, scover line is 70729
turn is 150, now time is 8686.246325016022, scover line is 70729
turn is 151, now time is 8709.008536100388, scover line is 70729
turn is 152, now time is 8780.683721065521, scover line is 70729
turn is 153, now time is 8804.552016019821, scover line is 70773
turn is 154, now time is 8828.679100990295, scover line is 70773
turn is 155, now time is 8940.632904052734, scover line is 70773
turn is 156, now time is 8963.53734087944, scover line is 70773
turn is 157, now time is 8990.681947946548, scover line is 70773
turn is 158, now time is 9023.852000951767, scover line is 70780
turn is 159, now time is 9047.62789607048, scover line is 70820
turn is 160, now time is 9129.883601903915, scover line is 70820
turn is 161, now time is 9270.975030899048, scover line is 70820
turn is 162, now time is 9294.776556015015, scover line is 70839
turn is 163, now time is 9396.592252969742, scover line is 70940
turn is 164, now time is 9419.248533010483, scover line is 70940
turn is 165, now time is 9442.91334104538, scover line is 70940
turn is 166, now time is 9476.562269926071, scover line is 70985
turn is 167, now time is 9617.246108055115, scover line is 70985
turn is 168, now time is 9738.175524950027, scover line is 70989
turn is 169, now time is 9899.430042982101, scover line is 70989
turn is 170, now time is 9926.54671907425, scover line is 70989
turn is 171, now time is 9953.590154886246, scover line is 70992
turn is 172, now time is 9976.770493030548, scover line is 71080
turn is 173, now time is 10000.724926948547, scover line is 71085
turn is 174, now time is 10023.973244905472, scover line is 71097
turn is 175, now time is 10126.203453063965, scover line is 71495
turn is 176, now time is 10218.203406095505, scover line is 71495
turn is 177, now time is 10241.777594089508, scover line is 71495
turn is 178, now time is 10363.561984062195, scover line is 71495
turn is 179, now time is 10465.463093996048, scover line is 71495
turn is 180, now time is 10646.971008062363, scover line is 71495
turn is 181, now time is 10768.55224609375, scover line is 71495
turn is 182, now time is 10919.79259610176, scover line is 71495
turn is 183, now time is 10992.368869066238, scover line is 71500
turn is 184, now time is 11143.491389036179, scover line is 71500
turn is 185, now time is 11255.268691062927, scover line is 71504
turn is 186, now time is 11347.6092441082, scover line is 71504
turn is 187, now time is 11371.489921092987, scover line is 71504
turn is 188, now time is 11395.15626502037, scover line is 71504
turn is 189, now time is 11418.912513017654, scover line is 71506
turn is 190, now time is 11580.469613075256, scover line is 71506
turn is 191, now time is 11613.442133903503, scover line is 71506
turn is 192, now time is 11645.297086954117, scover line is 71506
turn is 193, now time is 11668.987184047699, scover line is 71506
turn is 194, now time is 11700.799894094467, scover line is 71506
turn is 195, now time is 11724.614758014679, scover line is 71506
turn is 196, now time is 11756.892626047134, scover line is 71506
turn is 197, now time is 11918.210763931274, scover line is 71912
turn is 198, now time is 11942.005867004395, scover line is 71912
turn is 199, now time is 12044.030630111694, scover line is 71912
turn is 200, now time is 12067.915870904922, scover line is 71978
turn is 201, now time is 12091.669459104538, scover line is 71979
turn is 202, now time is 12114.475895881653, scover line is 72153
turn is 203, now time is 12265.749722957611, scover line is 72161
turn is 204, now time is 12289.10153889656, scover line is 72165
turn is 205, now time is 12312.74921989441, scover line is 72165
turn is 206, now time is 12334.855545043945, scover line is 72194
turn is 207, now time is 12358.492355108261, scover line is 72194
turn is 208, now time is 12382.11008810997, scover line is 72194
turn is 209, now time is 12484.194880962372, scover line is 72194
turn is 210, now time is 12507.696639060974, scover line is 72194
turn is 211, now time is 12668.893624067307, scover line is 72194
turn is 212, now time is 12701.813643932343, scover line is 72194
turn is 213, now time is 12729.3127450943, scover line is 72194
turn is 214, now time is 12841.279341936111, scover line is 72248
turn is 215, now time is 13012.612806081772, scover line is 72290
turn is 216, now time is 13036.187788963318, scover line is 72290
turn is 217, now time is 13163.107558012009, scover line is 72290
turn is 218, now time is 13186.975172042847, scover line is 72290
turn is 219, now time is 13210.675759077072, scover line is 72290
turn is 220, now time is 13234.50414800644, scover line is 72290
turn is 221, now time is 13326.582880973816, scover line is 72290
turn is 222, now time is 13350.104986906052, scover line is 72435
turn is 223, now time is 13373.51999092102, scover line is 72435
turn is 224, now time is 13485.441055059433, scover line is 72435
