time is 0.20877909660339355, cover line is 0
time is 15.215842008590698, cover line is 38836
time is 36.1010799407959, cover line is 40701
time is 57.168457984924316, cover line is 44906
time is 215.93782496452332, cover line is 45570
time is 235.43730688095093, cover line is 46123
time is 256.0260879993439, cover line is 46158
time is 365.211364030838, cover line is 46435
time is 464.9652330875397, cover line is 46460
time is 483.89956998825073, cover line is 46592
time is 504.29150795936584, cover line is 46617
time is 533.5779829025269, cover line is 46627
time is 554.9765419960022, cover line is 46853
time is 703.7615149021149, cover line is 47595
time is 725.5736970901489, cover line is 48435
time is 747.1604731082916, cover line is 48761
time is 768.9970369338989, cover line is 49847
time is 794.5077459812164, cover line is 49847
time is 918.9163029193878, cover line is 49847
time is 1092.197715997696, cover line is 49847
time is 1192.0002279281616, cover line is 49870
time is 1262.356575012207, cover line is 50743
time is 1372.0259819030762, cover line is 50856
time is 1393.4969930648804, cover line is 50856
time is 1423.3121221065521, cover line is 50856
time is 1572.384831905365, cover line is 51890
time is 1594.3390100002289, cover line is 52358
time is 1616.4212839603424, cover line is 52447
time is 1637.978283882141, cover line is 52447
time is 1660.6231050491333, cover line is 52471
time is 1681.3561899662018, cover line is 52621
time is 1711.7825911045074, cover line is 52621
time is 1773.0222990512848, cover line is 55005
time is 1795.1638839244843, cover line is 55005
time is 1817.9240019321442, cover line is 55102
time is 1840.4238181114197, cover line is 55102
time is 1931.5194780826569, cover line is 55256
time is 1954.2323110103607, cover line is 55380
time is 1976.5651741027832, cover line is 55380
time is 1999.114100933075, cover line is 55508
time is 2020.4209909439087, cover line is 55518
time is 2043.4092290401459, cover line is 55670
time is 2065.3349878787994, cover line is 55781
time is 2088.4622979164124, cover line is 55980
time is 2120.7796111106873, cover line is 55980
time is 2231.5255439281464, cover line is 56197
time is 2254.1985828876495, cover line is 56563
time is 2280.7694590091705, cover line is 56563
time is 2413.854506969452, cover line is 56563
time is 2436.154706954956, cover line is 56563
time is 2466.9519538879395, cover line is 56563
time is 2487.540412902832, cover line is 56563
time is 2513.919687986374, cover line is 56563
time is 2634.431505918503, cover line is 56563
time is 2656.860860109329, cover line is 56727
time is 2758.1689689159393, cover line is 59983
time is 2859.5681750774384, cover line is 60391
time is 2960.9366240501404, cover line is 61300
time is 2983.452173948288, cover line is 61483
time is 3094.443475008011, cover line is 61488
time is 3195.807804107666, cover line is 62984
time is 3218.8902559280396, cover line is 63154
time is 3310.459659099579, cover line is 63282
time is 3412.331330060959, cover line is 63838
time is 3435.49241399765, cover line is 63845
time is 3462.1779420375824, cover line is 63845
time is 3485.2672638893127, cover line is 63845
time is 3508.341670036316, cover line is 63851
time is 3531.153909921646, cover line is 63874
time is 3632.73153591156, cover line is 63883
time is 3663.725354909897, cover line is 63883
time is 3794.4136140346527, cover line is 65523
time is 3886.7208359241486, cover line is 65523
time is 3909.1438870429993, cover line is 65523
time is 3932.2454619407654, cover line is 65647
time is 4024.280256986618, cover line is 65647
time is 4045.198616027832, cover line is 65647
time is 4068.356211900711, cover line is 66237
time is 4090.3224759101868, cover line is 66237
time is 4111.3952848911285, cover line is 66237
time is 4134.685993909836, cover line is 66237
time is 4315.599863052368, cover line is 66242
time is 4337.618772983551, cover line is 66242
time is 4360.836669921875, cover line is 66252
time is 4391.226898908615, cover line is 66356
time is 4423.701467037201, cover line is 66356
time is 4454.722820043564, cover line is 66356
time is 4477.762193918228, cover line is 66356
time is 4500.459836959839, cover line is 66590
time is 4523.930094957352, cover line is 66874
time is 4547.326900005341, cover line is 67131
time is 4659.01616191864, cover line is 67220
time is 4691.240354061127, cover line is 67220
time is 4792.826170921326, cover line is 67225
time is 4815.0577828884125, cover line is 67225
time is 4841.790620088577, cover line is 67225
time is 4865.497941970825, cover line is 67355
time is 4888.449243068695, cover line is 67355
time is 5059.862684011459, cover line is 67355
time is 5083.095658063889, cover line is 67355
time is 5234.334029912949, cover line is 68883
time is 5257.821928977966, cover line is 68886
time is 5280.247581958771, cover line is 68886
time is 5303.916253089905, cover line is 68888
time is 5335.649337053299, cover line is 68888
time is 5359.318500041962, cover line is 69281
time is 5480.981039047241, cover line is 69281
time is 5505.17693901062, cover line is 69440
time is 5528.938999891281, cover line is 69463
time is 5610.784647941589, cover line is 69552
time is 5633.759171009064, cover line is 69552
time is 5794.726291894913, cover line is 69570
time is 5896.193204879761, cover line is 69613
time is 6057.256191968918, cover line is 69613
time is 6084.198025941849, cover line is 69613
time is 6107.533562898636, cover line is 69654
time is 6323.146559000015, cover line is 69654
time is 6346.297151088715, cover line is 69654
time is 6527.478756904602, cover line is 69792
time is 6619.565001010895, cover line is 69818
time is 6646.471889972687, cover line is 69818
time is 6748.077106952667, cover line is 69824
time is 6770.587958097458, cover line is 69835
time is 6794.356342077255, cover line is 69838
time is 6817.601696014404, cover line is 70094
time is 6841.132607936859, cover line is 70655
time is 6933.441979885101, cover line is 70655
time is 6957.055989980698, cover line is 70670
time is 6984.0024700164795, cover line is 70670
time is 7015.85293006897, cover line is 70670
time is 7278.183712005615, cover line is 70670
time is 7301.544131040573, cover line is 70670
time is 7325.205023050308, cover line is 70670
time is 7348.724934101105, cover line is 70670
time is 7372.413333892822, cover line is 70671
time is 7494.95832490921, cover line is 70673
time is 7518.542963981628, cover line is 70673
time is 7620.695022106171, cover line is 70673
time is 7644.062642097473, cover line is 70673
time is 7667.502419948578, cover line is 70673
time is 7828.928962945938, cover line is 70692
time is 7852.663893938065, cover line is 70692
time is 7876.172213077545, cover line is 70716
time is 7899.933219909668, cover line is 70716
time is 7923.586163043976, cover line is 70716
time is 8044.8338940143585, cover line is 70729
time is 8226.988691091537, cover line is 70729
time is 8408.374711036682, cover line is 70729
time is 8490.922318935394, cover line is 70729
time is 8662.521012067795, cover line is 70729
time is 8686.246325016022, cover line is 70729
time is 8709.008536100388, cover line is 70729
time is 8780.683721065521, cover line is 70729
time is 8804.552016019821, cover line is 70729
time is 8828.679100990295, cover line is 70773
time is 8940.632904052734, cover line is 70773
time is 8963.53734087944, cover line is 70773
time is 8990.681947946548, cover line is 70773
time is 9023.852000951767, cover line is 70773
time is 9047.62789607048, cover line is 70780
time is 9129.883601903915, cover line is 70820
time is 9270.975030899048, cover line is 70820
time is 9294.776556015015, cover line is 70820
time is 9396.592252969742, cover line is 70839
time is 9419.248533010483, cover line is 70940
time is 9442.91334104538, cover line is 70940
time is 9476.562269926071, cover line is 70940
time is 9617.246108055115, cover line is 70985
time is 9738.175524950027, cover line is 70985
time is 9899.430042982101, cover line is 70989
time is 9926.54671907425, cover line is 70989
time is 9953.590154886246, cover line is 70989
time is 9976.770493030548, cover line is 70992
time is 10000.724926948547, cover line is 71080
time is 10023.973244905472, cover line is 71085
time is 10126.203453063965, cover line is 71097
time is 10218.203406095505, cover line is 71495
time is 10241.777594089508, cover line is 71495
time is 10363.561984062195, cover line is 71495
time is 10465.463093996048, cover line is 71495
time is 10646.971008062363, cover line is 71495
time is 10768.55224609375, cover line is 71495
time is 10919.79259610176, cover line is 71495
time is 10992.368869066238, cover line is 71495
time is 11143.491389036179, cover line is 71500
time is 11255.268691062927, cover line is 71500
time is 11347.6092441082, cover line is 71504
time is 11371.489921092987, cover line is 71504
time is 11395.15626502037, cover line is 71504
time is 11418.912513017654, cover line is 71504
time is 11580.469613075256, cover line is 71506
time is 11613.442133903503, cover line is 71506
time is 11645.297086954117, cover line is 71506
time is 11668.987184047699, cover line is 71506
time is 11700.799894094467, cover line is 71506
time is 11724.614758014679, cover line is 71506
time is 11756.892626047134, cover line is 71506
time is 11918.210763931274, cover line is 71506
time is 11942.005867004395, cover line is 71912
time is 12044.030630111694, cover line is 71912
time is 12067.915870904922, cover line is 71912
time is 12091.669459104538, cover line is 71978
time is 12114.475895881653, cover line is 71979
time is 12265.749722957611, cover line is 72153
time is 12289.10153889656, cover line is 72161
time is 12312.74921989441, cover line is 72165
time is 12334.855545043945, cover line is 72165
time is 12358.492355108261, cover line is 72194
time is 12382.11008810997, cover line is 72194
time is 12484.194880962372, cover line is 72194
time is 12507.696639060974, cover line is 72194
time is 12668.893624067307, cover line is 72194
time is 12701.813643932343, cover line is 72194
time is 12729.3127450943, cover line is 72194
time is 12841.279341936111, cover line is 72194
time is 13012.612806081772, cover line is 72248
time is 13036.187788963318, cover line is 72290
time is 13163.107558012009, cover line is 72290
time is 13186.975172042847, cover line is 72290
time is 13210.675759077072, cover line is 72290
time is 13234.50414800644, cover line is 72290
time is 13326.582880973816, cover line is 72290
time is 13350.104986906052, cover line is 72290
time is 13373.51999092102, cover line is 72435
time is 13485.441055059433, cover line is 72435
time is 13512.76681303978, cover line is 72435
time is 13536.326469898224, cover line is 72437
time is 13560.508312940598, cover line is 72514
time is 13671.94649195671, cover line is 72514
time is 13695.874895095825, cover line is 72514
time is 13719.341901063919, cover line is 72514
time is 13740.618463039398, cover line is 72514
time is 13852.634231090546, cover line is 72514
time is 13875.822494983673, cover line is 72514
time is 13902.87241601944, cover line is 72514
time is 13925.336927890778, cover line is 72514
time is 14063.771274089813, cover line is 72514
time is 14175.465840101242, cover line is 72514
time is 14197.96881890297, cover line is 72514
time is 14280.321367025375, cover line is 72514
time is 14302.909769058228, cover line is 72514
time is 14405.037529945374, cover line is 72514
time is 14428.981723070145, cover line is 73161
time is 14456.4720890522, cover line is 73161
time is 14558.355256080627, cover line is 73161
time is 14729.510485887527, cover line is 73161
time is 14802.009222984314, cover line is 73173
time is 14825.80859208107, cover line is 73173
time is 14849.815828084946, cover line is 73173
time is 14881.51806306839, cover line is 73173
time is 14905.417932033539, cover line is 73173
time is 14929.34621500969, cover line is 73173
time is 15041.160674095154, cover line is 73173
time is 15162.903245925903, cover line is 73173
time is 15384.857903957367, cover line is 73173
time is 15408.442481994629, cover line is 73173
time is 15435.748147010803, cover line is 73173
time is 15459.747174978256, cover line is 73461
time is 15483.568703889847, cover line is 73691
time is 15504.87916302681, cover line is 73691
time is 15527.76801609993, cover line is 73691
time is 15629.650651931763, cover line is 73691
time is 15653.53241610527, cover line is 73691
time is 15680.718206882477, cover line is 73691
time is 15707.871439933777, cover line is 73691
time is 15879.194571971893, cover line is 73691
time is 15981.059653043747, cover line is 73691
time is 16132.325989961624, cover line is 73691
