turn is 0, now time is 0.20218801498413086, scover line is 12149
turn is 1, now time is 21.556237936019897, scover line is 32762
turn is 2, now time is 38.21458601951599, scover line is 33479
turn is 3, now time is 57.172088861465454, scover line is 37572
turn is 4, now time is 76.61048698425293, scover line is 38413
turn is 5, now time is 204.43560600280762, scover line is 39310
turn is 6, now time is 223.86470890045166, scover line is 39460
turn is 7, now time is 242.85438704490662, scover line is 39467
turn is 8, now time is 261.4694378376007, scover line is 39707
turn is 9, now time is 281.3480739593506, scover line is 46938
turn is 10, now time is 302.10088300704956, scover line is 46938
turn is 11, now time is 323.67774200439453, scover line is 47064
turn is 12, now time is 345.89885902404785, scover line is 47293
turn is 13, now time is 415.7688298225403, scover line is 47685
turn is 14, now time is 536.7009699344635, scover line is 48615
turn is 15, now time is 665.796178817749, scover line is 48662
turn is 16, now time is 687.382227897644, scover line is 48965
turn is 17, now time is 709.0070428848267, scover line is 50508
turn is 18, now time is 809.3098738193512, scover line is 52015
turn is 19, now time is 968.8475978374481, scover line is 52260
turn is 20, now time is 990.1977639198303, scover line is 52301
turn is 21, now time is 1013.007465839386, scover line is 54085
turn is 22, now time is 1034.9915318489075, scover line is 54085
turn is 23, now time is 1264.062912940979, scover line is 54108
turn is 24, now time is 1286.3635988235474, scover line is 58930
turn is 25, now time is 1308.4643938541412, scover line is 58939
turn is 26, now time is 1329.5380198955536, scover line is 59144
turn is 27, now time is 1391.0030899047852, scover line is 59664
turn is 28, now time is 1412.7561779022217, scover line is 60591
turn is 29, now time is 1435.5351040363312, scover line is 60600
turn is 30, now time is 1564.5795369148254, scover line is 61115
turn is 31, now time is 1664.7698998451233, scover line is 61115
turn is 32, now time is 1691.1874859333038, scover line is 61115
turn is 33, now time is 1717.1268599033356, scover line is 61115
turn is 34, now time is 1743.1438360214233, scover line is 61172
turn is 35, now time is 1863.4145350456238, scover line is 63606
turn is 36, now time is 1934.839933872223, scover line is 64223
turn is 37, now time is 1958.5968198776245, scover line is 64223
