turn is 0, now time is 0.42017698287963867, scover line is 30337
turn is 1, now time is 15.526812076568604, scover line is 30637
turn is 2, now time is 34.2509400844574, scover line is 31374
turn is 3, now time is 53.11389899253845, scover line is 31472
turn is 4, now time is 159.5838499069214, scover line is 31884
turn is 5, now time is 366.2810740470886, scover line is 32499
turn is 6, now time is 385.1680340766907, scover line is 32842
turn is 7, now time is 404.0637218952179, scover line is 32842
turn is 8, now time is 544.0804009437561, scover line is 33072
turn is 9, now time is 661.3582789897919, scover line is 33266
turn is 10, now time is 848.1624960899353, scover line is 33266
turn is 11, now time is 867.3599140644073, scover line is 33266
turn is 12, now time is 974.650906085968, scover line is 33622
turn is 13, now time is 993.8147089481354, scover line is 34099
turn is 14, now time is 1012.2815821170807, scover line is 34099
turn is 15, now time is 1040.5411870479584, scover line is 44473
turn is 16, now time is 1060.2481520175934, scover line is 44569
turn is 17, now time is 1169.225016117096, scover line is 44673
turn is 18, now time is 1287.7687029838562, scover line is 44736
turn is 19, now time is 1308.5821690559387, scover line is 44736
turn is 20, now time is 1336.8640410900116, scover line is 44738
turn is 21, now time is 1356.743686914444, scover line is 44738
turn is 22, now time is 1476.2215659618378, scover line is 44738
turn is 23, now time is 1501.3340859413147, scover line is 44738
turn is 24, now time is 1531.2048981189728, scover line is 44739
turn is 25, now time is 1679.1579349040985, scover line is 46163
turn is 26, now time is 1699.9234640598297, scover line is 46283
turn is 27, now time is 1789.2613279819489, scover line is 46378
turn is 28, now time is 1810.2977089881897, scover line is 46378
turn is 29, now time is 1838.6925671100616, scover line is 46553
turn is 30, now time is 1947.8822839260101, scover line is 46591
turn is 31, now time is 1969.0000450611115, scover line is 46591
turn is 32, now time is 1994.2383251190186, scover line is 46591
turn is 33, now time is 2019.5019059181213, scover line is 46591
turn is 34, now time is 2044.8748440742493, scover line is 46710
turn is 35, now time is 2163.701854944229, scover line is 46710
turn is 36, now time is 2184.7273700237274, scover line is 46710
turn is 37, now time is 2293.6952629089355, scover line is 47119
turn is 38, now time is 2314.735282897949, scover line is 47119
turn is 39, now time is 2435.973711013794, scover line is 47135
turn is 40, now time is 2545.241851091385, scover line is 47452
turn is 41, now time is 2664.0953159332275, scover line is 47453
turn is 42, now time is 2763.5447909832, scover line is 48049
turn is 43, now time is 2912.0535900592804, scover line is 48183
turn is 44, now time is 2933.136981010437, scover line is 48243
turn is 45, now time is 3042.6448040008545, scover line is 48351
turn is 46, now time is 3063.9686760902405, scover line is 48526
turn is 47, now time is 3212.4589459896088, scover line is 48532
turn is 48, now time is 3232.690987110138, scover line is 48558
turn is 49, now time is 3252.568843126297, scover line is 48814
turn is 50, now time is 3411.207895040512, scover line is 48903
turn is 51, now time is 3432.4395298957825, scover line is 48903
turn is 52, now time is 3453.7410221099854, scover line is 49492
turn is 53, now time is 3475.0140109062195, scover line is 49529
turn is 54, now time is 3644.149276971817, scover line is 49554
turn is 55, now time is 3664.2335929870605, scover line is 49554
turn is 56, now time is 3877.052076101303, scover line is 49570
turn is 57, now time is 3897.952910900116, scover line is 49570
turn is 58, now time is 3917.4339458942413, scover line is 49570
turn is 59, now time is 3946.789747953415, scover line is 49570
turn is 60, now time is 3972.4347579479218, scover line is 49570
turn is 61, now time is 4001.8979589939117, scover line is 49570
turn is 62, now time is 4022.964725971222, scover line is 49859
turn is 63, now time is 4122.709858894348, scover line is 49959
turn is 64, now time is 4242.722587108612, scover line is 49959
turn is 65, now time is 4362.237982034683, scover line is 49959
turn is 66, now time is 4508.2626440525055, scover line is 49959
turn is 67, now time is 4529.440855026245, scover line is 49959
turn is 68, now time is 4658.059104919434, scover line is 49983
turn is 69, now time is 4678.082410097122, scover line is 50061
turn is 70, now time is 4748.337671995163, scover line is 50061
turn is 71, now time is 4769.898821115494, scover line is 50296
turn is 72, now time is 4850.012586116791, scover line is 50302
turn is 73, now time is 4940.116386890411, scover line is 50440
turn is 74, now time is 5059.211623907089, scover line is 50440
turn is 75, now time is 5288.873923063278, scover line is 50468
turn is 76, now time is 5308.792386054993, scover line is 50475
turn is 77, now time is 5330.214605093002, scover line is 50475
turn is 78, now time is 5360.835205078125, scover line is 50477
turn is 79, now time is 5382.27418589592, scover line is 50477
turn is 80, now time is 5407.983174085617, scover line is 50477
turn is 81, now time is 5527.644603013992, scover line is 50551
turn is 82, now time is 5627.637166976929, scover line is 50551
turn is 83, now time is 5648.984613895416, scover line is 50614
turn is 84, now time is 5748.918401002884, scover line is 50618
turn is 85, now time is 5848.775319099426, scover line is 50624
turn is 86, now time is 5997.927290916443, scover line is 50625
turn is 87, now time is 6166.918406009674, scover line is 50631
turn is 88, now time is 6188.297848939896, scover line is 50631
turn is 89, now time is 6367.4146049022675, scover line is 50633
turn is 90, now time is 6388.724147081375, scover line is 51783
turn is 91, now time is 6410.290863990784, scover line is 51868
turn is 92, now time is 6431.872407913208, scover line is 51868
turn is 93, now time is 6452.3692400455475, scover line is 51877
turn is 94, now time is 6473.850745916367, scover line is 52090
turn is 95, now time is 6612.736700057983, scover line is 52092
turn is 96, now time is 6651.821999073029, scover line is 52217
turn is 97, now time is 6673.384937047958, scover line is 52217
turn is 98, now time is 6783.176114082336, scover line is 52227
turn is 99, now time is 6942.351669073105, scover line is 52227
turn is 100, now time is 7090.501965999603, scover line is 52227
turn is 101, now time is 7111.653038978577, scover line is 52227
turn is 102, now time is 7131.537523984909, scover line is 52298
turn is 103, now time is 7153.132887125015, scover line is 52327
turn is 104, now time is 7174.81617808342, scover line is 52327
turn is 105, now time is 7195.407484054565, scover line is 52327
turn is 106, now time is 7285.481272935867, scover line is 52327
turn is 107, now time is 7346.330606937408, scover line is 52327
turn is 108, now time is 7372.167367935181, scover line is 52327
turn is 109, now time is 7391.874696016312, scover line is 52327
turn is 110, now time is 7417.725161075592, scover line is 52333
turn is 111, now time is 7438.854903936386, scover line is 52333
turn is 112, now time is 7464.7630178928375, scover line is 52507
turn is 113, now time is 7486.096256017685, scover line is 52507
turn is 114, now time is 7506.070406913757, scover line is 53673
turn is 115, now time is 7527.711609125137, scover line is 53673
turn is 116, now time is 7608.14116692543, scover line is 53673
turn is 117, now time is 7627.7068400383, scover line is 53673
turn is 118, now time is 7678.826297998428, scover line is 53800
turn is 119, now time is 7817.926480054855, scover line is 53800
turn is 120, now time is 7847.727853059769, scover line is 55027
turn is 121, now time is 7947.823225975037, scover line is 55027
turn is 122, now time is 7969.55154299736, scover line is 55027
turn is 123, now time is 8069.708513975143, scover line is 55816
turn is 124, now time is 8090.36998796463, scover line is 55819
turn is 125, now time is 8229.615561962128, scover line is 55819
turn is 126, now time is 8255.563970088959, scover line is 55819
turn is 127, now time is 8275.495532989502, scover line is 56702
turn is 128, now time is 8297.39195394516, scover line is 56702
turn is 129, now time is 8397.317500114441, scover line is 56702
turn is 130, now time is 8419.124126911163, scover line is 56811
turn is 131, now time is 8440.734924077988, scover line is 56811
turn is 132, now time is 8590.019994020462, scover line is 56812
turn is 133, now time is 8680.376502037048, scover line is 56812
turn is 134, now time is 8701.271289110184, scover line is 56812
turn is 135, now time is 8723.07088303566, scover line is 57510
turn is 136, now time is 8872.722697973251, scover line is 57513
turn is 137, now time is 8894.899858951569, scover line is 57513
turn is 138, now time is 9054.445588111877, scover line is 57564
turn is 139, now time is 9075.19477891922, scover line is 57564
turn is 140, now time is 9096.823100090027, scover line is 57564
turn is 141, now time is 9222.513902902603, scover line is 57564
turn is 142, now time is 9244.643486976624, scover line is 57564
turn is 143, now time is 9434.446345090866, scover line is 57679
