turn is 0, now time is 0.22091197967529297, scover line is 32421
turn is 1, now time is 15.497942924499512, scover line is 34150
turn is 2, now time is 35.632827043533325, scover line is 36603
turn is 3, now time is 56.24390196800232, scover line is 37147
turn is 4, now time is 144.97771501541138, scover line is 38663
turn is 5, now time is 233.91463994979858, scover line is 40780
turn is 6, now time is 254.8762629032135, scover line is 47769
turn is 7, now time is 334.3870439529419, scover line is 48487
turn is 8, now time is 355.2662160396576, scover line is 48709
turn is 9, now time is 512.40784907341, scover line is 49181
turn is 10, now time is 534.1310439109802, scover line is 49869
turn is 11, now time is 555.8777270317078, scover line is 49870
turn is 12, now time is 576.0915141105652, scover line is 49870
turn is 13, now time is 601.8545730113983, scover line is 49943
turn is 14, now time is 622.4885349273682, scover line is 50036
turn is 15, now time is 642.3803219795227, scover line is 50237
turn is 16, now time is 663.5548360347748, scover line is 50525
turn is 17, now time is 684.78169298172, scover line is 51056
turn is 18, now time is 706.5192019939423, scover line is 56463
turn is 19, now time is 728.1435561180115, scover line is 58858
turn is 20, now time is 750.2892999649048, scover line is 58867
turn is 21, now time is 890.1187260150909, scover line is 59239
turn is 22, now time is 961.1072850227356, scover line is 59301
turn is 23, now time is 1063.07648396492, scover line is 59651
turn is 24, now time is 1184.0110919475555, scover line is 59878
turn is 25, now time is 1206.0690560340881, scover line is 59878
turn is 26, now time is 1232.7467169761658, scover line is 60153
turn is 27, now time is 1354.1844770908356, scover line is 60171
turn is 28, now time is 1375.4988090991974, scover line is 60172
turn is 29, now time is 1397.491672039032, scover line is 60172
turn is 30, now time is 1593.6365699768066, scover line is 60637
turn is 31, now time is 1617.3409481048584, scover line is 60637
turn is 32, now time is 1647.643637895584, scover line is 60643
turn is 33, now time is 1669.5166149139404, scover line is 62085
turn is 34, now time is 1801.3229529857635, scover line is 62097
turn is 35, now time is 1892.3574440479279, scover line is 62097
turn is 36, now time is 1919.126480102539, scover line is 62415
turn is 37, now time is 2010.5835859775543, scover line is 62415
turn is 38, now time is 2037.165205001831, scover line is 62449
turn is 39, now time is 2059.9516060352325, scover line is 62833
turn is 40, now time is 2103.6679010391235, scover line is 63074
turn is 41, now time is 2136.832391023636, scover line is 63074
turn is 42, now time is 2159.9784829616547, scover line is 63074
turn is 43, now time is 2192.0285708904266, scover line is 63404
turn is 44, now time is 2214.323091030121, scover line is 63622
turn is 45, now time is 2237.0418729782104, scover line is 63622
turn is 46, now time is 2264.069724082947, scover line is 63631
turn is 47, now time is 2355.8844859600067, scover line is 63775
turn is 48, now time is 2437.955631017685, scover line is 63777
turn is 49, now time is 2539.6854400634766, scover line is 64815
turn is 50, now time is 2661.8510870933533, scover line is 66165
turn is 51, now time is 2802.4621069431305, scover line is 66188
turn is 52, now time is 2864.1123600006104, scover line is 66190
turn is 53, now time is 2886.4274299144745, scover line is 66213
turn is 54, now time is 2908.84491109848, scover line is 66911
turn is 55, now time is 2932.531863927841, scover line is 67014
turn is 56, now time is 2954.616956949234, scover line is 67014
turn is 57, now time is 2981.2649669647217, scover line is 67404
turn is 58, now time is 3005.050138950348, scover line is 67532
turn is 59, now time is 3028.3858020305634, scover line is 67710
turn is 60, now time is 3089.9829230308533, scover line is 67784
turn is 61, now time is 3112.8304409980774, scover line is 68616
turn is 62, now time is 3136.3266010284424, scover line is 68889
turn is 63, now time is 3158.5721740722656, scover line is 68889
turn is 64, now time is 3335.3315749168396, scover line is 68975
