time is 0.22091197967529297, cover line is 0
time is 15.497942924499512, cover line is 32421
time is 35.632827043533325, cover line is 34150
time is 56.24390196800232, cover line is 36603
time is 144.97771501541138, cover line is 37147
time is 233.91463994979858, cover line is 38663
time is 254.8762629032135, cover line is 40780
time is 334.3870439529419, cover line is 47769
time is 355.2662160396576, cover line is 48487
time is 512.40784907341, cover line is 48709
time is 534.1310439109802, cover line is 49181
time is 555.8777270317078, cover line is 49869
time is 576.0915141105652, cover line is 49870
time is 601.8545730113983, cover line is 49870
time is 622.4885349273682, cover line is 49943
time is 642.3803219795227, cover line is 50036
time is 663.5548360347748, cover line is 50237
time is 684.78169298172, cover line is 50525
time is 706.5192019939423, cover line is 51056
time is 728.1435561180115, cover line is 56463
time is 750.2892999649048, cover line is 58858
time is 890.1187260150909, cover line is 58867
time is 961.1072850227356, cover line is 59239
time is 1063.07648396492, cover line is 59301
time is 1184.0110919475555, cover line is 59651
time is 1206.0690560340881, cover line is 59878
time is 1232.7467169761658, cover line is 59878
time is 1354.1844770908356, cover line is 60153
time is 1375.4988090991974, cover line is 60171
time is 1397.491672039032, cover line is 60172
time is 1593.6365699768066, cover line is 60172
time is 1617.3409481048584, cover line is 60637
time is 1647.643637895584, cover line is 60637
time is 1669.5166149139404, cover line is 60643
time is 1801.3229529857635, cover line is 62085
time is 1892.3574440479279, cover line is 62097
time is 1919.126480102539, cover line is 62097
time is 2010.5835859775543, cover line is 62415
time is 2037.165205001831, cover line is 62415
time is 2059.9516060352325, cover line is 62449
time is 2103.6679010391235, cover line is 62833
time is 2136.832391023636, cover line is 63074
time is 2159.9784829616547, cover line is 63074
time is 2192.0285708904266, cover line is 63074
time is 2214.323091030121, cover line is 63404
time is 2237.0418729782104, cover line is 63622
time is 2264.069724082947, cover line is 63622
time is 2355.8844859600067, cover line is 63631
time is 2437.955631017685, cover line is 63775
time is 2539.6854400634766, cover line is 63777
time is 2661.8510870933533, cover line is 64815
time is 2802.4621069431305, cover line is 66165
time is 2864.1123600006104, cover line is 66188
time is 2886.4274299144745, cover line is 66190
time is 2908.84491109848, cover line is 66213
time is 2932.531863927841, cover line is 66911
time is 2954.616956949234, cover line is 67014
time is 2981.2649669647217, cover line is 67014
time is 3005.050138950348, cover line is 67404
time is 3028.3858020305634, cover line is 67532
time is 3089.9829230308533, cover line is 67710
time is 3112.8304409980774, cover line is 67784
time is 3136.3266010284424, cover line is 68616
time is 3158.5721740722656, cover line is 68889
time is 3335.3315749168396, cover line is 68889
time is 3358.4330151081085, cover line is 68975
time is 3381.0009100437164, cover line is 68975
time is 3403.7859880924225, cover line is 68982
time is 3435.0576560497284, cover line is 68982
time is 3515.5956358909607, cover line is 69415
time is 3539.012346982956, cover line is 69451
time is 3695.7194979190826, cover line is 69451
time is 3766.8400321006775, cover line is 69461
time is 3877.3975689411163, cover line is 69656
time is 3939.4611349105835, cover line is 70220
time is 3960.965166091919, cover line is 70220
time is 4023.6502718925476, cover line is 70230
time is 4055.529329061508, cover line is 71345
time is 4080.3070878982544, cover line is 71351
time is 4161.5986070632935, cover line is 71380
time is 4185.206969022751, cover line is 71382
time is 4316.338613986969, cover line is 72216
time is 4340.382211923599, cover line is 74565
time is 4363.589858055115, cover line is 74565
time is 4386.4551639556885, cover line is 75475
time is 4417.548677921295, cover line is 75492
time is 4444.289035081863, cover line is 75492
time is 4476.519799947739, cover line is 75492
time is 4499.481028079987, cover line is 75642
time is 4590.572154045105, cover line is 75642
time is 4617.333734035492, cover line is 75642
time is 4644.024720907211, cover line is 75642
time is 4805.222337007523, cover line is 75642
time is 4828.666738986969, cover line is 75844
time is 4855.612987041473, cover line is 75844
time is 4879.532840013504, cover line is 75846
time is 4901.890446901321, cover line is 76049
time is 4924.696994066238, cover line is 76049
time is 5006.380245923996, cover line is 76059
time is 5087.722356081009, cover line is 76059
time is 5108.966628074646, cover line is 76059
time is 5132.014563083649, cover line is 76521
time is 5156.36622095108, cover line is 76539
time is 5179.719585895538, cover line is 76539
time is 5252.0502779483795, cover line is 76719
time is 5314.1033411026, cover line is 76721
time is 5336.504909992218, cover line is 76721
time is 5359.903785943985, cover line is 76776
time is 5382.985269069672, cover line is 76776
time is 5409.510782003403, cover line is 76776
time is 5432.36954498291, cover line is 76910
time is 5523.288377046585, cover line is 76910
time is 5545.590379953384, cover line is 76956
time is 5572.358554124832, cover line is 76956
time is 5656.384115934372, cover line is 76969
time is 5679.709508895874, cover line is 77068
time is 5703.258898973465, cover line is 77068
time is 5726.152820110321, cover line is 77071
time is 5808.235821008682, cover line is 77071
time is 5872.6171181201935, cover line is 77071
time is 5974.269994020462, cover line is 77071
time is 6047.507430076599, cover line is 77071
time is 6070.393081903458, cover line is 77077
time is 6095.406685113907, cover line is 77453
time is 6119.881716012955, cover line is 78082
time is 6143.395909070969, cover line is 78123
time is 6166.496817111969, cover line is 78123
time is 6220.343266010284, cover line is 78139
time is 6243.231344938278, cover line is 78387
time is 6266.820056915283, cover line is 78387
time is 6293.797657012939, cover line is 78387
time is 6424.081893920898, cover line is 78389
time is 6448.055936098099, cover line is 78409
time is 6489.063538074493, cover line is 78409
time is 6512.631985902786, cover line is 78420
time is 6637.821047067642, cover line is 78420
time is 6661.462666988373, cover line is 78460
time is 6688.282301902771, cover line is 78460
time is 6760.867938995361, cover line is 78460
time is 6998.339872121811, cover line is 78476
time is 7022.575876951218, cover line is 78477
time is 7173.934122085571, cover line is 78477
time is 7317.760950088501, cover line is 78635
time is 7478.757123947144, cover line is 78635
time is 7560.878345012665, cover line is 78726
time is 7584.576061964035, cover line is 78759
time is 7609.429543972015, cover line is 78857
time is 7633.972779035568, cover line is 78898
time is 7756.063455104828, cover line is 78898
time is 7778.380086898804, cover line is 78898
time is 7803.204678058624, cover line is 78946
time is 7835.334302902222, cover line is 78946
time is 7858.502424955368, cover line is 78946
time is 7882.4221251010895, cover line is 78946
time is 7945.433435916901, cover line is 78997
time is 7968.594369888306, cover line is 79060
time is 8102.057379961014, cover line is 79060
time is 8125.34809088707, cover line is 79063
time is 8148.89355301857, cover line is 79063
time is 8172.630691051483, cover line is 79068
time is 8196.16252708435, cover line is 79069
time is 8221.010766983032, cover line is 79069
time is 8244.757821083069, cover line is 79236
time is 8269.145987987518, cover line is 79249
time is 8292.849129915237, cover line is 79249
time is 8357.404480934143, cover line is 79858
time is 8380.994463920593, cover line is 79868
time is 8414.043463945389, cover line is 79868
time is 8436.260226011276, cover line is 79875
time is 8509.733057022095, cover line is 79875
time is 8533.732784986496, cover line is 79875
time is 8560.837714910507, cover line is 79875
time is 8702.211632013321, cover line is 79881
time is 8774.075361013412, cover line is 79933
time is 8798.398793935776, cover line is 80002
time is 8931.772540092468, cover line is 80002
time is 8954.151288032532, cover line is 80002
time is 9028.374071121216, cover line is 80002
time is 9170.211999893188, cover line is 80002
time is 9252.197839021683, cover line is 80002
time is 9364.171991109848, cover line is 80005
time is 9388.7068400383, cover line is 80012
time is 9540.485011100769, cover line is 80012
time is 9613.64495897293, cover line is 80015
time is 9636.552971124649, cover line is 80019
time is 9661.107675075531, cover line is 80060
time is 9684.575143098831, cover line is 80060
time is 9820.685360908508, cover line is 80060
time is 9871.52657008171, cover line is 80060
time is 9894.22080206871, cover line is 80060
time is 9919.040538072586, cover line is 80060
time is 9944.655577898026, cover line is 80122
time is 10096.580766916275, cover line is 80122
time is 10171.499951124191, cover line is 80139
time is 10195.76630806923, cover line is 80145
time is 10308.293220996857, cover line is 80151
time is 10332.300024032593, cover line is 81162
time is 10356.002013921738, cover line is 81432
time is 10380.047355890274, cover line is 81432
time is 10403.768973112106, cover line is 81432
time is 10429.018146038055, cover line is 81432
time is 10451.854164123535, cover line is 81678
time is 10514.900564908981, cover line is 81692
time is 10538.249325990677, cover line is 81692
time is 10562.967499017715, cover line is 81692
time is 10586.086281061172, cover line is 81692
time is 10611.168365955353, cover line is 82506
time is 10635.247203111649, cover line is 82610
time is 10666.262106895447, cover line is 82610
time is 10698.52237701416, cover line is 82610
time is 10801.325246095657, cover line is 82610
time is 10853.486346006393, cover line is 82610
time is 10876.688889026642, cover line is 82610
time is 10899.546767950058, cover line is 82729
time is 10982.66438794136, cover line is 82729
time is 11006.191425085068, cover line is 82731
time is 11118.122838020325, cover line is 82731
time is 11142.003175973892, cover line is 82731
time is 11165.081713914871, cover line is 82731
time is 11188.790803909302, cover line is 82824
time is 11210.920749902725, cover line is 82824
time is 11292.920907974243, cover line is 82826
time is 11355.666101932526, cover line is 82887
time is 11437.114154100418, cover line is 82887
time is 11558.940357923508, cover line is 82887
time is 11680.272201061249, cover line is 82887
time is 11703.718065023422, cover line is 82887
time is 11834.980117082596, cover line is 82887
time is 11867.336803913116, cover line is 82887
time is 11940.011003017426, cover line is 82896
time is 12022.957046031952, cover line is 82995
time is 12046.936671972275, cover line is 83290
time is 12070.964263916016, cover line is 83290
time is 12095.505125045776, cover line is 83290
time is 12119.568794965744, cover line is 83290
time is 12202.241014957428, cover line is 83291
time is 12225.493907928467, cover line is 83291
time is 12366.895205974579, cover line is 83291
time is 12390.336853027344, cover line is 83291
time is 12417.73096203804, cover line is 83291
time is 12531.125715970993, cover line is 83294
time is 12555.5282599926, cover line is 83325
time is 12679.094501972198, cover line is 83325
time is 12882.852493047714, cover line is 83325
time is 12906.035458087921, cover line is 83325
time is 12929.680186033249, cover line is 83365
time is 13041.205039024353, cover line is 83365
time is 13063.972444057465, cover line is 83365
time is 13242.958297014236, cover line is 83365
time is 13376.869012117386, cover line is 83523
time is 13400.409775972366, cover line is 83523
time is 13425.229866027832, cover line is 83524
time is 13452.528527975082, cover line is 83524
time is 13515.751955032349, cover line is 83530
time is 13579.518129110336, cover line is 83530
time is 13604.25610089302, cover line is 83542
time is 13783.725483894348, cover line is 83542
time is 13807.410711050034, cover line is 83545
time is 13834.65906405449, cover line is 83545
time is 13858.196814060211, cover line is 83545
time is 13885.703306913376, cover line is 83545
time is 13908.925651073456, cover line is 83545
time is 13931.567116975784, cover line is 83570
time is 14064.160614013672, cover line is 83570
time is 14085.828543901443, cover line is 83570
time is 14168.284337997437, cover line is 83570
time is 14250.735774040222, cover line is 83570
time is 14363.932239055634, cover line is 83570
time is 14387.182899951935, cover line is 83570
time is 14441.74979710579, cover line is 83582
time is 14465.835666894913, cover line is 83582
time is 14489.291743040085, cover line is 83582
time is 14551.827037096024, cover line is 83593
time is 14633.788589954376, cover line is 83758
time is 14657.715712070465, cover line is 83801
time is 14681.329987049103, cover line is 83801
time is 14705.182924032211, cover line is 83801
time is 14738.106106042862, cover line is 83801
time is 14812.221477985382, cover line is 84030
time is 14837.524411916733, cover line is 84120
time is 14860.172375917435, cover line is 84121
time is 14891.743725061417, cover line is 84121
time is 14919.224103927612, cover line is 84121
time is 14941.386516094208, cover line is 84121
time is 15103.85636806488, cover line is 84121
time is 15127.379734039307, cover line is 84172
time is 15151.464397907257, cover line is 84172
time is 15175.103145122528, cover line is 84176
time is 15199.448573112488, cover line is 84638
time is 15264.027115106583, cover line is 84638
time is 15291.428633928299, cover line is 84638
time is 15315.339656114578, cover line is 84638
time is 15339.544029951096, cover line is 84638
time is 15363.637416124344, cover line is 84638
time is 15395.794764995575, cover line is 84638
time is 15419.59492301941, cover line is 84638
time is 15474.25481390953, cover line is 84653
