turn is 0, now time is 0.34726595878601074, scover line is 27413
turn is 1, now time is 84.12699103355408, scover line is 29129
turn is 2, now time is 102.10097885131836, scover line is 29280
turn is 3, now time is 118.93133997917175, scover line is 30794
turn is 4, now time is 137.74538588523865, scover line is 31336
turn is 5, now time is 156.68102884292603, scover line is 31626
turn is 6, now time is 313.34587383270264, scover line is 31626
turn is 7, now time is 459.8854959011078, scover line is 31626
turn is 8, now time is 576.8772008419037, scover line is 31673
turn is 9, now time is 743.4430038928986, scover line is 31745
turn is 10, now time is 762.6622648239136, scover line is 31747
turn is 11, now time is 779.4848937988281, scover line is 31804
turn is 12, now time is 796.5379779338837, scover line is 31804
turn is 13, now time is 942.9008729457855, scover line is 31804
turn is 14, now time is 1059.9357459545135, scover line is 31804
turn is 15, now time is 1084.0806148052216, scover line is 34515
turn is 16, now time is 1103.1442048549652, scover line is 39688
turn is 17, now time is 1260.4691829681396, scover line is 39688
turn is 18, now time is 1285.5716378688812, scover line is 39688
turn is 19, now time is 1511.8583698272705, scover line is 39730
turn is 20, now time is 1610.7254328727722, scover line is 39730
turn is 21, now time is 1872.095288991928, scover line is 40491
turn is 22, now time is 1892.7223978042603, scover line is 43291
turn is 23, now time is 2001.8370130062103, scover line is 43291
turn is 24, now time is 2232.5458579063416, scover line is 43291
turn is 25, now time is 2253.3315188884735, scover line is 43291
turn is 26, now time is 2281.541576862335, scover line is 43291
turn is 27, now time is 2306.7333109378815, scover line is 43294
turn is 28, now time is 2333.987012863159, scover line is 43294
turn is 29, now time is 2452.6077959537506, scover line is 43930
turn is 30, now time is 2580.6701200008392, scover line is 43937
turn is 31, now time is 2601.522315979004, scover line is 44685
turn is 32, now time is 2622.2875378131866, scover line is 44817
turn is 33, now time is 2640.721771001816, scover line is 44912
turn is 34, now time is 2661.492285966873, scover line is 44912
turn is 35, now time is 2799.641772031784, scover line is 44924
turn is 36, now time is 2820.8629100322723, scover line is 44924
turn is 37, now time is 2839.8979799747467, scover line is 44943
turn is 38, now time is 2860.790301799774, scover line is 44943
turn is 39, now time is 2886.0085258483887, scover line is 45395
