turn is 0, now time is 0.400068998336792, scover line is 27713
turn is 1, now time is 46.44545817375183, scover line is 31044
turn is 2, now time is 187.03883504867554, scover line is 43508
turn is 3, now time is 381.02871203422546, scover line is 44192
turn is 4, now time is 506.8520631790161, scover line is 44349
turn is 5, now time is 534.461816072464, scover line is 44349
turn is 6, now time is 670.9811670780182, scover line is 45406
turn is 7, now time is 696.7101020812988, scover line is 45940
turn is 8, now time is 724.5899879932404, scover line is 45949
turn is 9, now time is 752.3621070384979, scover line is 46132
turn is 10, now time is 868.0974571704865, scover line is 46710
turn is 11, now time is 906.2785511016846, scover line is 47355
turn is 12, now time is 1090.5392370224, scover line is 47355
turn is 13, now time is 1118.838478088379, scover line is 48974
turn is 14, now time is 1146.2634031772614, scover line is 49103
turn is 15, now time is 1241.6415112018585, scover line is 49210
turn is 16, now time is 1371.0657842159271, scover line is 49654
turn is 17, now time is 1448.0317690372467, scover line is 49660
turn is 18, now time is 1496.7325131893158, scover line is 49889
turn is 19, now time is 1542.248573064804, scover line is 49889
turn is 20, now time is 1568.4360330104828, scover line is 50248
turn is 21, now time is 1654.2044939994812, scover line is 50518
turn is 22, now time is 1869.1220490932465, scover line is 50534
turn is 23, now time is 1896.2616691589355, scover line is 50765
turn is 24, now time is 1974.096708059311, scover line is 50833
turn is 25, now time is 2002.516231060028, scover line is 50842
turn is 26, now time is 2030.2654201984406, scover line is 50842
turn is 27, now time is 2059.6988592147827, scover line is 51049
turn is 28, now time is 2087.7207930088043, scover line is 51111
turn is 29, now time is 2204.333628177643, scover line is 51832
turn is 30, now time is 2251.016354084015, scover line is 51832
turn is 31, now time is 2297.250946044922, scover line is 52009
turn is 32, now time is 2333.5713720321655, scover line is 52027
turn is 33, now time is 2380.080623149872, scover line is 52031
turn is 34, now time is 2465.3217730522156, scover line is 52031
turn is 35, now time is 2493.9861261844635, scover line is 54612
turn is 36, now time is 2519.86302113533, scover line is 54789
turn is 37, now time is 2546.0508210659027, scover line is 55126
turn is 38, now time is 2751.098831176758, scover line is 55185
turn is 39, now time is 2839.55446100235, scover line is 55185
turn is 40, now time is 3006.8182442188263, scover line is 55887
turn is 41, now time is 3103.9844691753387, scover line is 55887
turn is 42, now time is 3280.5062251091003, scover line is 55891
turn is 43, now time is 3324.614375114441, scover line is 56206
turn is 44, now time is 3500.632229089737, scover line is 56434
turn is 45, now time is 3559.9282891750336, scover line is 56469
turn is 46, now time is 3587.968836069107, scover line is 56469
turn is 47, now time is 3693.866604089737, scover line is 56469
turn is 48, now time is 3915.286817073822, scover line is 56469
turn is 49, now time is 3953.880259990692, scover line is 56469
turn is 50, now time is 4039.8064160346985, scover line is 56469
turn is 51, now time is 4076.6577219963074, scover line is 56540
turn is 52, now time is 4104.10454416275, scover line is 56665
turn is 53, now time is 4165.690201044083, scover line is 56665
turn is 54, now time is 4194.991752147675, scover line is 56670
turn is 55, now time is 4225.471696138382, scover line is 56670
turn is 56, now time is 4352.843464136124, scover line is 56836
turn is 57, now time is 4380.491173028946, scover line is 56836
turn is 58, now time is 4447.357932090759, scover line is 56836
turn is 59, now time is 4574.9156630039215, scover line is 56843
turn is 60, now time is 4602.008815050125, scover line is 57046
turn is 61, now time is 4700.286586999893, scover line is 57132
turn is 62, now time is 4730.171255111694, scover line is 57132
turn is 63, now time is 4928.8379991054535, scover line is 57132
turn is 64, now time is 4957.835148096085, scover line is 57290
turn is 65, now time is 4985.636630058289, scover line is 57316
turn is 66, now time is 5023.295278072357, scover line is 57350
turn is 67, now time is 5062.514400005341, scover line is 57363
turn is 68, now time is 5090.103631019592, scover line is 57363
turn is 69, now time is 5117.37068104744, scover line is 57399
turn is 70, now time is 5215.4081971645355, scover line is 57399
turn is 71, now time is 5356.820819139481, scover line is 57399
turn is 72, now time is 5534.403757095337, scover line is 57602
turn is 73, now time is 5582.445517063141, scover line is 57772
turn is 74, now time is 5630.156286001205, scover line is 57772
turn is 75, now time is 5668.757359027863, scover line is 57789
turn is 76, now time is 5874.684784173965, scover line is 57838
turn is 77, now time is 5901.515331983566, scover line is 57838
turn is 78, now time is 5928.161761045456, scover line is 57838
turn is 79, now time is 6076.516796112061, scover line is 58033
turn is 80, now time is 6270.911208152771, scover line is 58033
turn is 81, now time is 6298.2920751571655, scover line is 58034
turn is 82, now time is 6325.239030122757, scover line is 58051
turn is 83, now time is 6352.179390192032, scover line is 58250
turn is 84, now time is 6547.387731075287, scover line is 58256
turn is 85, now time is 6574.060166120529, scover line is 58663
turn is 86, now time is 6601.145045042038, scover line is 58663
turn is 87, now time is 6795.752868175507, scover line is 60089
turn is 88, now time is 6881.738103151321, scover line is 60089
turn is 89, now time is 7036.863933086395, scover line is 60089
turn is 90, now time is 7152.572547197342, scover line is 60089
turn is 91, now time is 7179.971892118454, scover line is 60089
turn is 92, now time is 7207.870366096497, scover line is 60089
turn is 93, now time is 7234.956117153168, scover line is 60703
turn is 94, now time is 7262.937170982361, scover line is 60822
turn is 95, now time is 7448.852735996246, scover line is 61382
turn is 96, now time is 7478.704690217972, scover line is 61382
turn is 97, now time is 7596.862585067749, scover line is 61382
turn is 98, now time is 7634.498506069183, scover line is 61408
turn is 99, now time is 7722.087408065796, scover line is 61408
turn is 100, now time is 7761.162531137466, scover line is 61408
turn is 101, now time is 7796.997702121735, scover line is 62062
turn is 102, now time is 7893.687321186066, scover line is 62071
turn is 103, now time is 7923.487643003464, scover line is 62071
turn is 104, now time is 7959.017850160599, scover line is 62071
turn is 105, now time is 8004.593303203583, scover line is 62071
turn is 106, now time is 8131.482578039169, scover line is 62071
turn is 107, now time is 8161.954761981964, scover line is 62071
turn is 108, now time is 8248.16115617752, scover line is 62071
turn is 109, now time is 8277.16377401352, scover line is 62071
turn is 110, now time is 8306.279093027115, scover line is 62150
turn is 111, now time is 8394.896113157272, scover line is 62154
turn is 112, now time is 8424.43704199791, scover line is 62154
turn is 113, now time is 8452.28957414627, scover line is 62159
turn is 114, now time is 8479.072149038315, scover line is 62564
turn is 115, now time is 8654.227339982986, scover line is 62679
turn is 116, now time is 8702.852985143661, scover line is 62687
turn is 117, now time is 8730.465064048767, scover line is 62687
turn is 118, now time is 8771.17497420311, scover line is 63499
turn is 119, now time is 8858.610560178757, scover line is 63499
turn is 120, now time is 8887.565577030182, scover line is 63499
turn is 121, now time is 9044.86270403862, scover line is 64279
turn is 122, now time is 9241.63288807869, scover line is 64283
turn is 123, now time is 9439.790258169174, scover line is 64283
turn is 124, now time is 9498.630980014801, scover line is 64283
turn is 125, now time is 9705.663480997086, scover line is 64291
turn is 126, now time is 9735.593870162964, scover line is 64291
turn is 127, now time is 9811.690487146378, scover line is 64291
turn is 128, now time is 9838.534440040588, scover line is 64315
turn is 129, now time is 9866.998100996017, scover line is 64315
turn is 130, now time is 9896.202622175217, scover line is 64315
turn is 131, now time is 9926.252976179123, scover line is 64335
turn is 132, now time is 9958.805994033813, scover line is 64335
turn is 133, now time is 10279.822407007217, scover line is 64335
turn is 134, now time is 10310.323439121246, scover line is 64335
turn is 135, now time is 10337.096546173096, scover line is 64341
turn is 136, now time is 10364.581182003021, scover line is 64341
turn is 137, now time is 10540.264376163483, scover line is 64341
turn is 138, now time is 10747.673032045364, scover line is 64341
turn is 139, now time is 10777.939465999603, scover line is 64341
turn is 140, now time is 10806.610397100449, scover line is 64341
turn is 141, now time is 10940.53753900528, scover line is 65350
turn is 142, now time is 10969.819167137146, scover line is 65557
turn is 143, now time is 10999.404511213303, scover line is 65557
turn is 144, now time is 11058.964209079742, scover line is 65557
turn is 145, now time is 11247.747429132462, scover line is 65562
turn is 146, now time is 11276.520915031433, scover line is 65562
turn is 147, now time is 11303.611659049988, scover line is 65562
turn is 148, now time is 11481.767923116684, scover line is 65629
turn is 149, now time is 11508.583906173706, scover line is 65717
turn is 150, now time is 11587.406424045563, scover line is 65855
turn is 151, now time is 11865.738049983978, scover line is 65921
turn is 152, now time is 11896.459317207336, scover line is 65921
turn is 153, now time is 11926.25731420517, scover line is 65921
turn is 154, now time is 11956.443067073822, scover line is 65921
turn is 155, now time is 12044.005889177322, scover line is 65921
turn is 156, now time is 12154.037897109985, scover line is 65921
turn is 157, now time is 12321.714838027954, scover line is 65930
turn is 158, now time is 12379.927041053772, scover line is 65930
turn is 159, now time is 12410.133378982544, scover line is 65939
turn is 160, now time is 12607.766612052917, scover line is 66243
turn is 161, now time is 12636.74691915512, scover line is 66243
turn is 162, now time is 12803.03834605217, scover line is 66243
turn is 163, now time is 13103.394385099411, scover line is 66243
turn is 164, now time is 13140.300476074219, scover line is 66315
turn is 165, now time is 13180.678451061249, scover line is 66315
turn is 166, now time is 13212.003164052963, scover line is 66315
