time is 0.4232630729675293, cover line is 0
time is 17.201569080352783, cover line is 30939
time is 40.37973499298096, cover line is 31121
time is 64.39665913581848, cover line is 34258
time is 148.56422805786133, cover line is 34448
time is 175.9967770576477, cover line is 35621
time is 223.68735718727112, cover line is 36314
time is 337.88985300064087, cover line is 37059
time is 411.67244696617126, cover line is 44962
time is 437.01954102516174, cover line is 47495
time is 462.1867949962616, cover line is 47686
time is 490.72996401786804, cover line is 47686
time is 605.0530140399933, cover line is 47734
time is 633.3859841823578, cover line is 47734
time is 827.0262310504913, cover line is 48011
time is 1009.4966690540314, cover line is 48011
time is 1113.341444015503, cover line is 48459
time is 1249.7726559638977, cover line is 48459
time is 1374.2116491794586, cover line is 48752
time is 1401.1079320907593, cover line is 48917
time is 1428.5727469921112, cover line is 49446
time is 1455.507187128067, cover line is 49461
time is 1550.7012131214142, cover line is 49749
time is 1576.9822611808777, cover line is 49927
time is 1603.8226301670074, cover line is 51804
time is 1629.0603251457214, cover line is 52088
time is 1693.9262020587921, cover line is 52260
time is 1758.5898711681366, cover line is 52438
time is 1943.0320830345154, cover line is 52438
time is 2127.869024038315, cover line is 52438
time is 2183.8494510650635, cover line is 52608
time is 2211.875514984131, cover line is 52615
time is 2416.390634059906, cover line is 53098
time is 2490.516839027405, cover line is 53098
time is 2518.74870800972, cover line is 53098
time is 2546.931253194809, cover line is 53098
time is 2572.593188047409, cover line is 53100
time is 2598.8270790576935, cover line is 53261
time is 2633.3198041915894, cover line is 53261
time is 2659.700711965561, cover line is 53293
time is 2845.143947124481, cover line is 54276
time is 2870.4536411762238, cover line is 54314
time is 2895.8699910640717, cover line is 54315
time is 2921.3002741336823, cover line is 54541
time is 2946.683207988739, cover line is 54544
time is 2974.8480970859528, cover line is 54544
time is 3003.3184990882874, cover line is 54544
time is 3178.0325031280518, cover line is 54745
time is 3254.975221157074, cover line is 54745
time is 3280.1048080921173, cover line is 54756
time is 3464.100174188614, cover line is 54795
time is 3501.47541308403, cover line is 55431
time is 3538.687101125717, cover line is 55443
time is 3562.496458053589, cover line is 55460
time is 3598.4389259815216, cover line is 56046
time is 3623.0109691619873, cover line is 56046
time is 3649.933958053589, cover line is 56047
time is 3677.8903391361237, cover line is 56047
time is 3705.3337001800537, cover line is 56148
time is 3731.9537580013275, cover line is 56163
time is 3758.3870780467987, cover line is 56164
time is 3933.503216981888, cover line is 56174
time is 3971.98726606369, cover line is 56391
time is 4038.4448170661926, cover line is 56597
time is 4202.960605144501, cover line is 56727
time is 4279.244127035141, cover line is 59125
time is 4366.04659819603, cover line is 59125
time is 4393.531630992889, cover line is 59509
time is 4588.84626698494, cover line is 60256
time is 4618.369668960571, cover line is 60282
time is 4647.872920036316, cover line is 60289
time is 4843.777177095413, cover line is 60289
time is 4880.5160529613495, cover line is 60329
time is 4905.390680074692, cover line is 60329
time is 4928.6150369644165, cover line is 60329
time is 4952.898408174515, cover line is 60335
time is 4987.360193967819, cover line is 60338
time is 5072.880639076233, cover line is 61492
time is 5103.163103103638, cover line is 61494
time is 5131.063750982285, cover line is 61512
time is 5305.184924125671, cover line is 61512
time is 5344.0411241054535, cover line is 61515
time is 5370.418450117111, cover line is 61515
time is 5396.371875047684, cover line is 61713
time is 5471.759179115295, cover line is 61713
time is 5665.903259038925, cover line is 61716
time is 5692.514139175415, cover line is 61716
time is 5718.356431007385, cover line is 61745
time is 5773.533627986908, cover line is 61745
time is 5868.692916154861, cover line is 61873
time is 5897.347234964371, cover line is 61873
time is 5934.176710128784, cover line is 62157
time is 5962.239727020264, cover line is 62593
time is 6146.794356107712, cover line is 62593
time is 6175.557059049606, cover line is 62593
time is 6280.5642120838165, cover line is 62593
time is 6308.027186155319, cover line is 62593
time is 6335.42463517189, cover line is 62606
time is 6475.541874170303, cover line is 62606
time is 6571.899482011795, cover line is 62614
time is 6666.683811187744, cover line is 62614
time is 6692.51775598526, cover line is 62614
time is 6737.509842157364, cover line is 62614
time is 6760.930828094482, cover line is 62614
time is 6855.628039121628, cover line is 63464
time is 6881.828548192978, cover line is 63464
time is 6978.476287126541, cover line is 63464
time is 7005.905694961548, cover line is 64184
time is 7054.493241071701, cover line is 64196
time is 7092.0462911129, cover line is 64196
time is 7119.999194145203, cover line is 64196
time is 7148.365234136581, cover line is 64737
time is 7255.056005001068, cover line is 64793
time is 7284.2139620780945, cover line is 64954
time is 7321.203160047531, cover line is 64954
time is 7507.803225040436, cover line is 64957
time is 7541.667333126068, cover line is 64957
time is 7569.833750963211, cover line is 64964
time is 7744.9185881614685, cover line is 64964
time is 7831.113222122192, cover line is 64984
time is 8006.5669050216675, cover line is 64984
time is 8037.155506134033, cover line is 64984
time is 8191.975069999695, cover line is 64984
time is 8237.673515081406, cover line is 64984
time is 8421.711776018143, cover line is 64984
time is 8536.274384975433, cover line is 64984
time is 8566.555354118347, cover line is 64984
time is 8626.425717115402, cover line is 64984
time is 8653.546544075012, cover line is 64984
time is 8680.52106499672, cover line is 64986
time is 8730.036529064178, cover line is 65000
time is 8878.043943166733, cover line is 65000
time is 8906.21536397934, cover line is 65000
time is 8935.003848075867, cover line is 65000
time is 8962.9353890419, cover line is 65006
time is 8990.727984189987, cover line is 65006
time is 9177.338910102844, cover line is 65006
time is 9351.721942186356, cover line is 65064
