turn is 0, now time is 0.4232630729675293, scover line is 30939
turn is 1, now time is 17.201569080352783, scover line is 31121
turn is 2, now time is 40.37973499298096, scover line is 34258
turn is 3, now time is 64.39665913581848, scover line is 34448
turn is 4, now time is 148.56422805786133, scover line is 35621
turn is 5, now time is 175.9967770576477, scover line is 36314
turn is 6, now time is 223.68735718727112, scover line is 37059
turn is 7, now time is 337.88985300064087, scover line is 44962
turn is 8, now time is 411.67244696617126, scover line is 47495
turn is 9, now time is 437.01954102516174, scover line is 47686
turn is 10, now time is 462.1867949962616, scover line is 47686
turn is 11, now time is 490.72996401786804, scover line is 47734
turn is 12, now time is 605.0530140399933, scover line is 47734
turn is 13, now time is 633.3859841823578, scover line is 48011
turn is 14, now time is 827.0262310504913, scover line is 48011
turn is 15, now time is 1009.4966690540314, scover line is 48459
turn is 16, now time is 1113.341444015503, scover line is 48459
turn is 17, now time is 1249.7726559638977, scover line is 48752
turn is 18, now time is 1374.2116491794586, scover line is 48917
turn is 19, now time is 1401.1079320907593, scover line is 49446
turn is 20, now time is 1428.5727469921112, scover line is 49461
turn is 21, now time is 1455.507187128067, scover line is 49749
turn is 22, now time is 1550.7012131214142, scover line is 49927
turn is 23, now time is 1576.9822611808777, scover line is 51804
turn is 24, now time is 1603.8226301670074, scover line is 52088
turn is 25, now time is 1629.0603251457214, scover line is 52260
turn is 26, now time is 1693.9262020587921, scover line is 52438
turn is 27, now time is 1758.5898711681366, scover line is 52438
turn is 28, now time is 1943.0320830345154, scover line is 52438
turn is 29, now time is 2127.869024038315, scover line is 52608
turn is 30, now time is 2183.8494510650635, scover line is 52615
turn is 31, now time is 2211.875514984131, scover line is 53098
turn is 32, now time is 2416.390634059906, scover line is 53098
turn is 33, now time is 2490.516839027405, scover line is 53098
turn is 34, now time is 2518.74870800972, scover line is 53098
turn is 35, now time is 2546.931253194809, scover line is 53100
turn is 36, now time is 2572.593188047409, scover line is 53261
turn is 37, now time is 2598.8270790576935, scover line is 53261
turn is 38, now time is 2633.3198041915894, scover line is 53293
turn is 39, now time is 2659.700711965561, scover line is 54276
turn is 40, now time is 2845.143947124481, scover line is 54314
turn is 41, now time is 2870.4536411762238, scover line is 54315
turn is 42, now time is 2895.8699910640717, scover line is 54541
turn is 43, now time is 2921.3002741336823, scover line is 54544
turn is 44, now time is 2946.683207988739, scover line is 54544
turn is 45, now time is 2974.8480970859528, scover line is 54544
turn is 46, now time is 3003.3184990882874, scover line is 54745
turn is 47, now time is 3178.0325031280518, scover line is 54745
turn is 48, now time is 3254.975221157074, scover line is 54756
turn is 49, now time is 3280.1048080921173, scover line is 54795
turn is 50, now time is 3464.100174188614, scover line is 55431
turn is 51, now time is 3501.47541308403, scover line is 55443
turn is 52, now time is 3538.687101125717, scover line is 55460
turn is 53, now time is 3562.496458053589, scover line is 56046
turn is 54, now time is 3598.4389259815216, scover line is 56046
turn is 55, now time is 3623.0109691619873, scover line is 56047
turn is 56, now time is 3649.933958053589, scover line is 56047
turn is 57, now time is 3677.8903391361237, scover line is 56148
turn is 58, now time is 3705.3337001800537, scover line is 56163
turn is 59, now time is 3731.9537580013275, scover line is 56164
turn is 60, now time is 3758.3870780467987, scover line is 56174
turn is 61, now time is 3933.503216981888, scover line is 56391
turn is 62, now time is 3971.98726606369, scover line is 56597
turn is 63, now time is 4038.4448170661926, scover line is 56727
turn is 64, now time is 4202.960605144501, scover line is 59125
turn is 65, now time is 4279.244127035141, scover line is 59125
turn is 66, now time is 4366.04659819603, scover line is 59509
turn is 67, now time is 4393.531630992889, scover line is 60256
turn is 68, now time is 4588.84626698494, scover line is 60282
