time is 2.8426899909973145, cover line is 0
time is 38.155681848526, cover line is 32173
time is 59.0383358001709, cover line is 33276
time is 79.72490692138672, cover line is 34795
time is 99.59365391731262, cover line is 37956
time is 121.83810901641846, cover line is 39012
time is 183.96297001838684, cover line is 41243
time is 333.3754458427429, cover line is 41884
time is 355.72542691230774, cover line is 43158
time is 495.81251192092896, cover line is 43978
time is 586.2960228919983, cover line is 44771
time is 615.8048458099365, cover line is 45132
time is 641.8695828914642, cover line is 45132
time is 662.8496358394623, cover line is 45399
time is 692.5526239871979, cover line is 45399
time is 716.0627009868622, cover line is 45843
time is 865.4310419559479, cover line is 46040
time is 964.8136298656464, cover line is 46492
time is 987.6165149211884, cover line is 46841
time is 1111.1303269863129, cover line is 53486
time is 1133.7798218727112, cover line is 56184
time is 1157.9682819843292, cover line is 56231
time is 1182.2147178649902, cover line is 56282
time is 1206.4133038520813, cover line is 56793
time is 1299.566598892212, cover line is 60078
time is 1324.1098399162292, cover line is 60086
time is 1359.9263799190521, cover line is 60275
time is 1501.1498069763184, cover line is 60275
time is 1533.5583338737488, cover line is 60275
time is 1558.0743629932404, cover line is 60404
time is 1582.281998872757, cover line is 60451
time is 1606.8636519908905, cover line is 60980
time is 1631.6594638824463, cover line is 61586
time is 1655.7792208194733, cover line is 62078
time is 1681.6593618392944, cover line is 62823
time is 1707.7128009796143, cover line is 63178
time is 1772.0561788082123, cover line is 63335
time is 1921.6406288146973, cover line is 63335
time is 1946.037535905838, cover line is 63363
time is 2038.9134278297424, cover line is 63366
time is 2063.10946893692, cover line is 63366
time is 2087.5616438388824, cover line is 63477
time is 2111.673898935318, cover line is 63480
time is 2155.23291182518, cover line is 63482
time is 2180.2116158008575, cover line is 63638
time is 2242.987245798111, cover line is 63638
time is 2396.0207278728485, cover line is 65344
time is 2429.9490230083466, cover line is 65344
time is 2462.777925014496, cover line is 65344
time is 2537.3419988155365, cover line is 65359
time is 2563.704682826996, cover line is 65409
time is 2587.5668280124664, cover line is 65442
time is 2613.03262591362, cover line is 65603
time is 2638.5984919071198, cover line is 65693
time is 2670.9416530132294, cover line is 65693
time is 2705.408252954483, cover line is 65693
time is 2770.2249557971954, cover line is 65855
time is 2804.460412979126, cover line is 66168
time is 2879.835222005844, cover line is 66316
time is 2905.8126130104065, cover line is 67084
time is 2931.2135219573975, cover line is 67086
time is 2955.1464660167694, cover line is 67086
time is 2981.200658798218, cover line is 67086
time is 3005.9315178394318, cover line is 67229
time is 3081.246109008789, cover line is 67414
time is 3106.420338869095, cover line is 67924
time is 3139.191745996475, cover line is 67924
time is 3164.51203083992, cover line is 68271
time is 3190.065768957138, cover line is 68284
time is 3225.814488887787, cover line is 68284
time is 3300.954201936722, cover line is 69563
time is 3414.0967428684235, cover line is 69758
time is 3439.6310119628906, cover line is 69953
time is 3494.3442039489746, cover line is 70012
time is 3597.2440140247345, cover line is 70017
time is 3641.9082708358765, cover line is 70079
time is 3666.8982639312744, cover line is 70248
time is 3691.9892349243164, cover line is 70248
time is 3717.42320394516, cover line is 71075
time is 3745.9987518787384, cover line is 71075
time is 3771.566164970398, cover line is 71103
time is 3797.876793861389, cover line is 71221
time is 3823.5671458244324, cover line is 71356
time is 3856.723832845688, cover line is 71356
time is 3892.1002898216248, cover line is 71357
time is 3918.1277248859406, cover line is 71462
time is 3961.8371698856354, cover line is 71462
time is 4017.5146408081055, cover line is 71462
time is 4042.1108198165894, cover line is 71462
time is 4085.6933028697968, cover line is 71462
time is 4112.055389881134, cover line is 71570
time is 4138.365297794342, cover line is 71570
time is 4212.779331922531, cover line is 71570
time is 4237.715248823166, cover line is 71581
time is 4263.4383108615875, cover line is 71584
time is 4347.664035797119, cover line is 71584
time is 4373.02866601944, cover line is 71613
time is 4517.1224999427795, cover line is 71634
time is 4542.885505914688, cover line is 71634
time is 4568.011155843735, cover line is 71642
time is 4744.356544971466, cover line is 71642
time is 4769.1272559165955, cover line is 71642
time is 4922.750946998596, cover line is 71647
time is 4948.556312799454, cover line is 71661
time is 5041.841591835022, cover line is 71661
time is 5106.783061981201, cover line is 71661
time is 5142.019076824188, cover line is 71661
time is 5167.521586894989, cover line is 71768
time is 5194.061999797821, cover line is 71828
time is 5227.415271997452, cover line is 72979
time is 5253.060601949692, cover line is 72979
time is 5328.861640930176, cover line is 73014
time is 5355.183010816574, cover line is 73014
time is 5379.143270015717, cover line is 73018
time is 5404.912042856216, cover line is 73262
time is 5430.583384990692, cover line is 74619
time is 5458.244335889816, cover line is 74677
time is 5493.510299921036, cover line is 74677
time is 5588.693130970001, cover line is 74737
time is 5713.927265882492, cover line is 74937
time is 5738.986643791199, cover line is 74937
time is 5765.7227149009705, cover line is 74979
time is 5811.343905925751, cover line is 74979
time is 5837.094213008881, cover line is 74979
time is 5902.982622861862, cover line is 76384
time is 6007.567710876465, cover line is 76384
time is 6032.285094022751, cover line is 76385
time is 6166.325902938843, cover line is 77257
time is 6192.3607568740845, cover line is 77257
time is 6225.992897987366, cover line is 77257
time is 6251.826267004013, cover line is 77257
time is 6306.6234447956085, cover line is 77259
time is 6330.941156864166, cover line is 77394
time is 6355.890682935715, cover line is 77394
time is 6501.654768943787, cover line is 77394
time is 6527.631280899048, cover line is 77432
time is 6555.552179813385, cover line is 77501
time is 6590.03933095932, cover line is 77501
time is 6618.661545991898, cover line is 77501
time is 6644.963184833527, cover line is 77501
time is 6671.962687015533, cover line is 77501
time is 6717.576429843903, cover line is 77501
time is 6746.507097005844, cover line is 77501
time is 6772.4283900260925, cover line is 77522
time is 6806.975140810013, cover line is 77522
time is 6833.850421905518, cover line is 77522
time is 6908.4474267959595, cover line is 77522
time is 6932.828957796097, cover line is 77522
time is 6959.035687923431, cover line is 77522
time is 6986.766181945801, cover line is 77522
time is 7071.954973936081, cover line is 77562
time is 7156.642019987106, cover line is 77562
time is 7200.822724819183, cover line is 77562
time is 7234.327237844467, cover line is 77562
time is 7268.21666097641, cover line is 77562
time is 7446.783376932144, cover line is 77562
time is 7479.843767881393, cover line is 77562
time is 7513.369252920151, cover line is 77562
time is 7538.727866888046, cover line is 77562
time is 7593.928342819214, cover line is 77562
time is 7620.5549058914185, cover line is 77562
time is 7785.4578769207, cover line is 77562
time is 7812.402053833008, cover line is 77567
time is 7841.084235906601, cover line is 77567
time is 7866.285691976547, cover line is 77575
time is 7894.300727844238, cover line is 79555
time is 7989.807602882385, cover line is 79555
time is 8025.3345148563385, cover line is 79555
time is 8051.043345928192, cover line is 79555
time is 8078.836714982986, cover line is 79555
time is 8106.1118178367615, cover line is 79556
time is 8142.665355920792, cover line is 79556
time is 8179.14440202713, cover line is 79556
time is 8216.561568021774, cover line is 79556
time is 8244.875674009323, cover line is 79567
time is 8322.402228832245, cover line is 79578
time is 8351.16057896614, cover line is 79579
time is 8380.332036018372, cover line is 79579
time is 8465.943750858307, cover line is 79579
time is 8495.577816963196, cover line is 79579
time is 8529.784974813461, cover line is 79579
time is 8564.7519698143, cover line is 79579
time is 8591.37190079689, cover line is 79589
time is 8746.9919090271, cover line is 79592
time is 8902.128418922424, cover line is 79593
time is 9036.930182933807, cover line is 79594
time is 9066.622159004211, cover line is 79594
time is 9154.159919977188, cover line is 79610
time is 9289.399783849716, cover line is 79684
time is 9316.00898194313, cover line is 79684
time is 9432.03862786293, cover line is 79684
time is 9578.146646022797, cover line is 79688
time is 9623.554368972778, cover line is 79688
time is 9650.642578840256, cover line is 79694
time is 9706.114890813828, cover line is 79796
time is 9740.12180185318, cover line is 79796
time is 9767.219688892365, cover line is 79804
time is 9795.77678990364, cover line is 79804
time is 9822.7512819767, cover line is 79856
time is 9969.109253883362, cover line is 79856
time is 9997.23905301094, cover line is 80113
time is 10073.1600689888, cover line is 80191
time is 10150.614758968353, cover line is 80191
time is 10187.639290809631, cover line is 80191
time is 10231.835377931595, cover line is 80191
time is 10261.013136863708, cover line is 80191
time is 10287.41522192955, cover line is 80196
time is 10323.453209877014, cover line is 80196
time is 10349.911270856857, cover line is 80196
time is 10416.694790840149, cover line is 80196
time is 10451.474117994308, cover line is 80196
time is 10487.978874921799, cover line is 80196
time is 10553.431253910065, cover line is 80196
time is 10580.558945894241, cover line is 80196
time is 10607.840539932251, cover line is 80196
time is 10634.022732019424, cover line is 80196
time is 10669.712042808533, cover line is 80196
time is 10824.947577953339, cover line is 80196
time is 10859.755513906479, cover line is 80196
time is 10887.5811150074, cover line is 80216
time is 11044.063748836517, cover line is 80317
time is 11078.634322881699, cover line is 80317
time is 11134.808600902557, cover line is 80317
time is 11291.613648891449, cover line is 80317
time is 11326.268826961517, cover line is 80317
time is 11412.626679897308, cover line is 80415
time is 11439.907311916351, cover line is 80415
time is 11615.01838684082, cover line is 80415
time is 11769.48069691658, cover line is 80415
time is 11804.153762817383, cover line is 80415
time is 11838.99452495575, cover line is 80415
time is 11874.352813959122, cover line is 80415
time is 11909.556463003159, cover line is 80415
time is 11937.026978969574, cover line is 80415
time is 11971.648500919342, cover line is 80415
time is 12001.115919828415, cover line is 80415
time is 12028.389628887177, cover line is 80415
time is 12054.323580026627, cover line is 80415
time is 12082.175793886185, cover line is 80415
time is 12118.519322872162, cover line is 80415
time is 12273.577422857285, cover line is 80415
time is 12307.716354846954, cover line is 80415
time is 12337.411988019943, cover line is 80415
time is 12371.835808992386, cover line is 80415
time is 12427.209444999695, cover line is 80415
time is 12456.883915901184, cover line is 80415
time is 12485.664642810822, cover line is 80415
time is 12580.810809850693, cover line is 80415
time is 12725.90027999878, cover line is 80415
time is 12755.542876958847, cover line is 80415
time is 12851.727294921875, cover line is 80754
time is 12928.26027083397, cover line is 80754
time is 12962.47801399231, cover line is 80754
time is 12992.130057811737, cover line is 80754
time is 13027.174899816513, cover line is 80754
time is 13077.24594783783, cover line is 80754
time is 13143.88519001007, cover line is 80773
time is 13170.973701000214, cover line is 80846
time is 13198.210055828094, cover line is 80846
time is 13225.628233909607, cover line is 80869
time is 13253.551460981369, cover line is 80869
time is 13283.395357847214, cover line is 80869
time is 13368.730783939362, cover line is 80876
time is 13434.953917980194, cover line is 80876
time is 13462.220786809921, cover line is 80876
time is 13490.190658807755, cover line is 80876
time is 13517.50422000885, cover line is 80876
time is 13546.097023010254, cover line is 80876
time is 13574.87523984909, cover line is 80877
time is 13602.265018939972, cover line is 80877
time is 13629.35807299614, cover line is 80877
time is 13745.741488933563, cover line is 80877
time is 13802.657547950745, cover line is 80877
time is 13829.586967945099, cover line is 80949
time is 13896.255411863327, cover line is 81100
time is 13923.124032020569, cover line is 81100
time is 13950.06566786766, cover line is 81100
time is 13977.759982824326, cover line is 81100
