turn is 121, now time is 5765.7227149009705, scover line is 74979
turn is 122, now time is 5811.343905925751, scover line is 74979
turn is 123, now time is 5837.094213008881, scover line is 76384
turn is 124, now time is 5902.982622861862, scover line is 76384
turn is 125, now time is 6007.567710876465, scover line is 76385
turn is 126, now time is 6032.285094022751, scover line is 77257
turn is 127, now time is 6166.325902938843, scover line is 77257
turn is 128, now time is 6192.3607568740845, scover line is 77257
turn is 129, now time is 6225.992897987366, scover line is 77257
turn is 130, now time is 6251.826267004013, scover line is 77259
turn is 131, now time is 6306.6234447956085, scover line is 77394
turn is 132, now time is 6330.941156864166, scover line is 77394
turn is 133, now time is 6355.890682935715, scover line is 77394
turn is 134, now time is 6501.654768943787, scover line is 77432
turn is 135, now time is 6527.631280899048, scover line is 77501
turn is 136, now time is 6555.552179813385, scover line is 77501
turn is 137, now time is 6590.03933095932, scover line is 77501
turn is 138, now time is 6618.661545991898, scover line is 77501
turn is 139, now time is 6644.963184833527, scover line is 77501
turn is 140, now time is 6671.962687015533, scover line is 77501
turn is 141, now time is 6717.576429843903, scover line is 77501
turn is 142, now time is 6746.507097005844, scover line is 77522
turn is 143, now time is 6772.4283900260925, scover line is 77522
turn is 144, now time is 6806.975140810013, scover line is 77522
turn is 145, now time is 6833.850421905518, scover line is 77522
turn is 146, now time is 6908.4474267959595, scover line is 77522
turn is 147, now time is 6932.828957796097, scover line is 77522
turn is 148, now time is 6959.035687923431, scover line is 77522
turn is 149, now time is 6986.766181945801, scover line is 77562
turn is 150, now time is 7071.954973936081, scover line is 77562
turn is 151, now time is 7156.642019987106, scover line is 77562
turn is 152, now time is 7200.822724819183, scover line is 77562
turn is 153, now time is 7234.327237844467, scover line is 77562
turn is 154, now time is 7268.21666097641, scover line is 77562
turn is 155, now time is 7446.783376932144, scover line is 77562
turn is 156, now time is 7479.843767881393, scover line is 77562
turn is 157, now time is 7513.369252920151, scover line is 77562
turn is 158, now time is 7538.727866888046, scover line is 77562
turn is 159, now time is 7593.928342819214, scover line is 77562
turn is 160, now time is 7620.5549058914185, scover line is 77562
turn is 161, now time is 7785.4578769207, scover line is 77567
turn is 162, now time is 7812.402053833008, scover line is 77567
turn is 163, now time is 7841.084235906601, scover line is 77575
turn is 164, now time is 7866.285691976547, scover line is 79555
turn is 165, now time is 7894.300727844238, scover line is 79555
turn is 166, now time is 7989.807602882385, scover line is 79555
turn is 167, now time is 8025.3345148563385, scover line is 79555
turn is 168, now time is 8051.043345928192, scover line is 79555
turn is 169, now time is 8078.836714982986, scover line is 79556
turn is 170, now time is 8106.1118178367615, scover line is 79556
turn is 171, now time is 8142.665355920792, scover line is 79556
turn is 172, now time is 8179.14440202713, scover line is 79556
turn is 173, now time is 8216.561568021774, scover line is 79567
turn is 174, now time is 8244.875674009323, scover line is 79578
turn is 175, now time is 8322.402228832245, scover line is 79579
turn is 176, now time is 8351.16057896614, scover line is 79579
turn is 177, now time is 8380.332036018372, scover line is 79579
turn is 178, now time is 8465.943750858307, scover line is 79579
turn is 179, now time is 8495.577816963196, scover line is 79579
turn is 180, now time is 8529.784974813461, scover line is 79579
turn is 181, now time is 8564.7519698143, scover line is 79589
turn is 182, now time is 8591.37190079689, scover line is 79592
turn is 183, now time is 8746.9919090271, scover line is 79593
turn is 184, now time is 8902.128418922424, scover line is 79594
turn is 185, now time is 9036.930182933807, scover line is 79594
turn is 186, now time is 9066.622159004211, scover line is 79610
turn is 187, now time is 9154.159919977188, scover line is 79684
turn is 188, now time is 9289.399783849716, scover line is 79684
turn is 189, now time is 9316.00898194313, scover line is 79684
turn is 190, now time is 9432.03862786293, scover line is 79688
turn is 191, now time is 9578.146646022797, scover line is 79688
turn is 192, now time is 9623.554368972778, scover line is 79694
turn is 193, now time is 9650.642578840256, scover line is 79796
turn is 194, now time is 9706.114890813828, scover line is 79796
turn is 195, now time is 9740.12180185318, scover line is 79804
turn is 196, now time is 9767.219688892365, scover line is 79804
turn is 197, now time is 9795.77678990364, scover line is 79856
turn is 198, now time is 9822.7512819767, scover line is 79856
turn is 199, now time is 9969.109253883362, scover line is 80113
turn is 200, now time is 9997.23905301094, scover line is 80191
turn is 201, now time is 10073.1600689888, scover line is 80191
turn is 202, now time is 10150.614758968353, scover line is 80191
turn is 203, now time is 10187.639290809631, scover line is 80191
turn is 204, now time is 10231.835377931595, scover line is 80191
turn is 205, now time is 10261.013136863708, scover line is 80196
turn is 206, now time is 10287.41522192955, scover line is 80196
turn is 207, now time is 10323.453209877014, scover line is 80196
turn is 208, now time is 10349.911270856857, scover line is 80196
turn is 209, now time is 10416.694790840149, scover line is 80196
turn is 210, now time is 10451.474117994308, scover line is 80196
turn is 211, now time is 10487.978874921799, scover line is 80196
turn is 212, now time is 10553.431253910065, scover line is 80196
turn is 213, now time is 10580.558945894241, scover line is 80196
turn is 214, now time is 10607.840539932251, scover line is 80196
turn is 215, now time is 10634.022732019424, scover line is 80196
turn is 216, now time is 10669.712042808533, scover line is 80196
turn is 217, now time is 10824.947577953339, scover line is 80196
turn is 218, now time is 10859.755513906479, scover line is 80216
turn is 219, now time is 10887.5811150074, scover line is 80317
turn is 220, now time is 11044.063748836517, scover line is 80317
