time is 0.4188079833984375, cover line is 0
time is 92.04155492782593, cover line is 33689
time is 156.26864910125732, cover line is 34348
time is 180.02757811546326, cover line is 36364
time is 351.4042110443115, cover line is 36550
time is 384.9267489910126, cover line is 37003
time is 415.38197803497314, cover line is 37248
time is 477.5540199279785, cover line is 37407
time is 610.4373409748077, cover line is 37634
time is 822.3651061058044, cover line is 39185
time is 934.9216599464417, cover line is 39779
time is 1026.946296930313, cover line is 41591
time is 1130.912542104721, cover line is 47800
time is 1315.6707348823547, cover line is 51286
time is 1342.8169040679932, cover line is 52063
time is 1367.7848389148712, cover line is 52106
time is 1504.0940608978271, cover line is 52299
time is 1533.0920600891113, cover line is 53309
time is 1659.1630880832672, cover line is 53485
time is 1727.4564321041107, cover line is 53485
time is 2001.3082480430603, cover line is 53494
time is 2026.3313279151917, cover line is 54463
time is 2051.368444919586, cover line is 54467
time is 2077.450371980667, cover line is 54552
time is 2103.337677001953, cover line is 54715
time is 2141.55148601532, cover line is 54897
time is 2170.1748280525208, cover line is 54957
time is 2220.212996006012, cover line is 54957
time is 2247.7839550971985, cover line is 55005
time is 2276.7246589660645, cover line is 55314
time is 2305.4222400188446, cover line is 55419
time is 2332.4322080612183, cover line is 57162
time is 2360.819223880768, cover line is 57368
time is 2496.1843769550323, cover line is 57368
time is 2526.3399560451508, cover line is 57517
time is 2554.408288002014, cover line is 57793
time is 2582.4755499362946, cover line is 58002
time is 2611.049439907074, cover line is 58113
time is 2727.663831949234, cover line is 58120
time is 2815.5216341018677, cover line is 58121
time is 2871.134912967682, cover line is 58121
time is 2977.5174770355225, cover line is 58121
time is 3133.2472620010376, cover line is 58527
time is 3268.56285905838, cover line is 58549
time is 3357.085333108902, cover line is 58549
time is 3383.514007091522, cover line is 58679
time is 3410.0608990192413, cover line is 58679
time is 3436.5956571102142, cover line is 58737
time is 3462.4168260097504, cover line is 58737
time is 3490.353360891342, cover line is 58737
time is 3517.021015882492, cover line is 58737
time is 3701.8347721099854, cover line is 58821
time is 3863.521691083908, cover line is 58821
time is 3987.719875097275, cover line is 58821
time is 4014.963972091675, cover line is 58874
time is 4223.2067329883575, cover line is 58874
time is 4247.751420974731, cover line is 58874
time is 4275.352677106857, cover line is 58874
time is 4351.898015022278, cover line is 58874
time is 4376.4029541015625, cover line is 58876
time is 4403.5812520980835, cover line is 59101
time is 4431.202188014984, cover line is 59148
time is 4458.0517020225525, cover line is 59157
time is 4492.388916015625, cover line is 59169
time is 4529.494630098343, cover line is 59169
time is 4558.413166046143, cover line is 59991
time is 4656.566519021988, cover line is 59991
time is 4871.780255079269, cover line is 59993
time is 4899.7799599170685, cover line is 59995
time is 5123.738629102707, cover line is 59995
time is 5249.511529922485, cover line is 60305
time is 5316.688500881195, cover line is 60353
time is 5402.985308885574, cover line is 60476
time is 5510.30105805397, cover line is 60477
time is 5538.262135028839, cover line is 60749
time is 5566.793412923813, cover line is 61175
time is 5610.229158878326, cover line is 61175
time is 5637.903729915619, cover line is 61186
time is 5665.118055105209, cover line is 61197
time is 5693.232259988785, cover line is 61197
time is 5721.343466043472, cover line is 61831
time is 5749.687009096146, cover line is 61884
time is 5777.950902938843, cover line is 61981
time is 5805.7259640693665, cover line is 61984
time is 5833.878431081772, cover line is 61984
time is 5861.002038002014, cover line is 61984
time is 5956.267612934113, cover line is 62726
time is 6042.303247928619, cover line is 62729
time is 6099.611586093903, cover line is 63296
time is 6186.726947069168, cover line is 63370
time is 6213.320168018341, cover line is 63370
time is 6236.449825048447, cover line is 63401
time is 6263.013302087784, cover line is 63401
time is 6298.660502910614, cover line is 63403
time is 6445.736644983292, cover line is 63403
time is 6473.987524032593, cover line is 63554
time is 6631.181617021561, cover line is 63554
time is 6747.8856549263, cover line is 63554
time is 6775.652223110199, cover line is 63555
time is 6961.103580951691, cover line is 63555
time is 7066.4064428806305, cover line is 63555
time is 7346.43606710434, cover line is 63555
time is 7374.956763982773, cover line is 63566
time is 7403.000554084778, cover line is 63577
time is 7578.220515012741, cover line is 63577
time is 7634.582528114319, cover line is 63605
time is 7663.474781990051, cover line is 63605
time is 7770.313421964645, cover line is 63605
time is 7798.666043043137, cover line is 63605
time is 7875.978574037552, cover line is 63605
time is 8126.861454963684, cover line is 63605
time is 8221.875709056854, cover line is 63605
time is 8250.649713039398, cover line is 63605
time is 8487.212682962418, cover line is 63605
time is 8565.20493888855, cover line is 64442
time is 8613.130400896072, cover line is 64442
time is 8641.308136940002, cover line is 64594
time is 8666.47646188736, cover line is 64594
time is 8702.537122964859, cover line is 64596
time is 8727.332253932953, cover line is 64596
time is 8911.425421953201, cover line is 64596
time is 8939.8121778965, cover line is 64596
time is 9047.056775093079, cover line is 64596
time is 9145.31542801857, cover line is 64612
time is 9213.157139062881, cover line is 64612
time is 9261.477720022202, cover line is 64955
time is 9347.873049974442, cover line is 64955
time is 9376.199410915375, cover line is 64985
time is 9402.185237884521, cover line is 64985
time is 9428.160604000092, cover line is 64985
time is 9463.842993974686, cover line is 64985
time is 9489.582097053528, cover line is 65003
time is 9527.337814092636, cover line is 65003
time is 9556.098927021027, cover line is 65003
time is 9584.654800891876, cover line is 65003
time is 9613.638231992722, cover line is 65019
time is 9682.113724946976, cover line is 65030
time is 9709.437253952026, cover line is 65033
time is 9794.607505083084, cover line is 65033
time is 9991.27415394783, cover line is 65039
time is 10040.399857997894, cover line is 65054
time is 10066.759646892548, cover line is 65054
time is 10104.113301992416, cover line is 65344
time is 10141.730277061462, cover line is 67664
time is 10171.518318891525, cover line is 67664
time is 10202.669317007065, cover line is 67664
time is 10231.02653002739, cover line is 67672
time is 10338.125288963318, cover line is 67796
time is 10368.545608997345, cover line is 67796
time is 10575.014522075653, cover line is 67796
time is 10602.731554031372, cover line is 67797
time is 10632.25912308693, cover line is 67806
time is 10849.644511938095, cover line is 67806
time is 10877.66217494011, cover line is 67806
time is 10904.551572084427, cover line is 67809
time is 10928.928709983826, cover line is 67809
time is 11144.456955909729, cover line is 67809
time is 11320.02113699913, cover line is 68050
time is 11348.115494012833, cover line is 68050
time is 11417.053030967712, cover line is 68050
time is 11634.967621088028, cover line is 68053
time is 11665.460266113281, cover line is 69147
time is 11752.311794996262, cover line is 69147
time is 11929.4783411026, cover line is 69147
time is 11979.015616893768, cover line is 69176
time is 12017.720540046692, cover line is 69179
time is 12192.417820930481, cover line is 70201
time is 12226.079642057419, cover line is 70201
time is 12255.228477954865, cover line is 70201
time is 12286.199122905731, cover line is 70264
time is 12317.064770936966, cover line is 70308
time is 12354.103637933731, cover line is 70349
time is 12402.554624080658, cover line is 70349
time is 12451.541419029236, cover line is 70349
time is 12620.196888923645, cover line is 70349
time is 12649.736474990845, cover line is 70349
time is 12758.83112192154, cover line is 70351
time is 12835.659874916077, cover line is 70351
time is 13024.234894990921, cover line is 70396
time is 13051.796705961227, cover line is 70397
time is 13089.14022898674, cover line is 70397
time is 13118.964302062988, cover line is 71792
time is 13227.407627105713, cover line is 71792
time is 13324.747456073761, cover line is 71792
time is 13353.852967977524, cover line is 71792
time is 13551.561835050583, cover line is 72330
time is 13720.734962940216, cover line is 72330
time is 13753.61563706398, cover line is 72330
time is 13877.881249904633, cover line is 72330
time is 13911.246191978455, cover line is 72423
time is 14122.804730892181, cover line is 72423
time is 14324.687514066696, cover line is 72423
time is 14359.730326890945, cover line is 72423
time is 14394.494658946991, cover line is 72423
time is 14428.637032032013, cover line is 72785
time is 14630.267874956131, cover line is 72785
time is 14824.62262392044, cover line is 72785
time is 14969.144171953201, cover line is 72786
time is 15005.690613031387, cover line is 72786
time is 15040.62840104103, cover line is 72786
time is 15075.643079996109, cover line is 72869
time is 15268.076117992401, cover line is 73014
time is 15351.326698064804, cover line is 73014
time is 15583.623898983002, cover line is 73014
time is 15617.054177045822, cover line is 73014
time is 15806.587152004242, cover line is 73017
time is 15844.89265704155, cover line is 73017
time is 15886.268996953964, cover line is 73017
time is 15920.526415109634, cover line is 73017
time is 16092.015896081924, cover line is 73021
time is 16193.661380052567, cover line is 73021
time is 16227.1546189785, cover line is 73024
time is 16261.037133932114, cover line is 73024
time is 16482.964039087296, cover line is 73024
time is 16662.6474609375, cover line is 73026
time is 16812.843533992767, cover line is 73067
time is 16846.694411993027, cover line is 73071
time is 16939.832051038742, cover line is 73071
time is 17023.0398979187, cover line is 73071
time is 17057.93590092659, cover line is 73071
time is 17139.569535970688, cover line is 73071
time is 17173.121736049652, cover line is 73076
time is 17206.86379790306, cover line is 73076
time is 17419.665864944458, cover line is 73076
time is 17454.881458997726, cover line is 73076
time is 17486.907203912735, cover line is 73076
time is 17686.630668878555, cover line is 73076
time is 17749.08633208275, cover line is 73993
