turn is 0, now time is 0.4188079833984375, scover line is 33689
turn is 1, now time is 92.04155492782593, scover line is 34348
turn is 2, now time is 156.26864910125732, scover line is 36364
turn is 3, now time is 180.02757811546326, scover line is 36550
turn is 4, now time is 351.4042110443115, scover line is 37003
turn is 5, now time is 384.9267489910126, scover line is 37248
turn is 6, now time is 415.38197803497314, scover line is 37407
turn is 7, now time is 477.5540199279785, scover line is 37634
turn is 8, now time is 610.4373409748077, scover line is 39185
turn is 9, now time is 822.3651061058044, scover line is 39779
turn is 10, now time is 934.9216599464417, scover line is 41591
turn is 11, now time is 1026.946296930313, scover line is 47800
turn is 12, now time is 1130.912542104721, scover line is 51286
turn is 13, now time is 1315.6707348823547, scover line is 52063
turn is 14, now time is 1342.8169040679932, scover line is 52106
turn is 15, now time is 1367.7848389148712, scover line is 52299
turn is 16, now time is 1504.0940608978271, scover line is 53309
turn is 17, now time is 1533.0920600891113, scover line is 53485
turn is 18, now time is 1659.1630880832672, scover line is 53485
turn is 19, now time is 1727.4564321041107, scover line is 53494
turn is 20, now time is 2001.3082480430603, scover line is 54463
turn is 21, now time is 2026.3313279151917, scover line is 54467
turn is 22, now time is 2051.368444919586, scover line is 54552
turn is 23, now time is 2077.450371980667, scover line is 54715
turn is 24, now time is 2103.337677001953, scover line is 54897
turn is 25, now time is 2141.55148601532, scover line is 54957
turn is 26, now time is 2170.1748280525208, scover line is 54957
turn is 27, now time is 2220.212996006012, scover line is 55005
turn is 28, now time is 2247.7839550971985, scover line is 55314
turn is 29, now time is 2276.7246589660645, scover line is 55419
turn is 30, now time is 2305.4222400188446, scover line is 57162
turn is 31, now time is 2332.4322080612183, scover line is 57368
turn is 32, now time is 2360.819223880768, scover line is 57368
turn is 33, now time is 2496.1843769550323, scover line is 57517
turn is 34, now time is 2526.3399560451508, scover line is 57793
turn is 35, now time is 2554.408288002014, scover line is 58002
turn is 36, now time is 2582.4755499362946, scover line is 58113
turn is 37, now time is 2611.049439907074, scover line is 58120
turn is 38, now time is 2727.663831949234, scover line is 58121
turn is 39, now time is 2815.5216341018677, scover line is 58121
turn is 40, now time is 2871.134912967682, scover line is 58121
turn is 41, now time is 2977.5174770355225, scover line is 58527
turn is 42, now time is 3133.2472620010376, scover line is 58549
turn is 43, now time is 3268.56285905838, scover line is 58549
turn is 44, now time is 3357.085333108902, scover line is 58679
turn is 45, now time is 3383.514007091522, scover line is 58679
turn is 46, now time is 3410.0608990192413, scover line is 58737
turn is 47, now time is 3436.5956571102142, scover line is 58737
turn is 48, now time is 3462.4168260097504, scover line is 58737
turn is 49, now time is 3490.353360891342, scover line is 58737
turn is 50, now time is 3517.021015882492, scover line is 58821
turn is 51, now time is 3701.8347721099854, scover line is 58821
turn is 52, now time is 3863.521691083908, scover line is 58821
turn is 53, now time is 3987.719875097275, scover line is 58874
turn is 54, now time is 4014.963972091675, scover line is 58874
turn is 55, now time is 4223.2067329883575, scover line is 58874
turn is 56, now time is 4247.751420974731, scover line is 58874
turn is 57, now time is 4275.352677106857, scover line is 58874
turn is 58, now time is 4351.898015022278, scover line is 58876
turn is 59, now time is 4376.4029541015625, scover line is 59101
turn is 60, now time is 4403.5812520980835, scover line is 59148
turn is 61, now time is 4431.202188014984, scover line is 59157
turn is 62, now time is 4458.0517020225525, scover line is 59169
turn is 63, now time is 4492.388916015625, scover line is 59169
turn is 64, now time is 4529.494630098343, scover line is 59991
turn is 65, now time is 4558.413166046143, scover line is 59991
turn is 66, now time is 4656.566519021988, scover line is 59993
turn is 67, now time is 4871.780255079269, scover line is 59995
turn is 68, now time is 4899.7799599170685, scover line is 59995
turn is 69, now time is 5123.738629102707, scover line is 60305
turn is 70, now time is 5249.511529922485, scover line is 60353
turn is 71, now time is 5316.688500881195, scover line is 60476
turn is 72, now time is 5402.985308885574, scover line is 60477
turn is 73, now time is 5510.30105805397, scover line is 60749
turn is 74, now time is 5538.262135028839, scover line is 61175
turn is 75, now time is 5566.793412923813, scover line is 61175
turn is 76, now time is 5610.229158878326, scover line is 61186
turn is 77, now time is 5637.903729915619, scover line is 61197
turn is 78, now time is 5665.118055105209, scover line is 61197
