time is 0.3797619342803955, cover line is 0
time is 113.557452917099, cover line is 26322
time is 129.45361304283142, cover line is 27403
time is 148.23440599441528, cover line is 28810
time is 167.30085492134094, cover line is 29465
time is 191.21473002433777, cover line is 29465
time is 210.22623991966248, cover line is 31609
time is 229.35912895202637, cover line is 32468
time is 317.81161403656006, cover line is 40018
time is 342.92367696762085, cover line is 40018
time is 363.893611907959, cover line is 40293
time is 483.2039330005646, cover line is 41689
time is 672.5141129493713, cover line is 41689
time is 851.1421809196472, cover line is 41870
time is 872.4938399791718, cover line is 42142
time is 893.6043899059296, cover line is 46617
time is 915.0034260749817, cover line is 47050
time is 940.3326621055603, cover line is 47050
time is 961.6584808826447, cover line is 47058
time is 983.4743409156799, cover line is 47257
time is 1004.6573538780212, cover line is 48164
time is 1114.333909034729, cover line is 48269
time is 1136.020623922348, cover line is 48529
time is 1345.360694885254, cover line is 48815
time is 1366.6565299034119, cover line is 51103
time is 1526.139307975769, cover line is 51104
time is 1715.2075879573822, cover line is 51133
time is 1737.0968198776245, cover line is 51303
time is 1878.035218000412, cover line is 51303
time is 2077.539540052414, cover line is 51347
time is 2177.4441990852356, cover line is 51601
time is 2199.3730709552765, cover line is 51705
time is 2221.2590839862823, cover line is 51711
time is 2250.1260459423065, cover line is 51732
time is 2429.554598093033, cover line is 51732
time is 2451.421550989151, cover line is 52276
time is 2641.2751200199127, cover line is 52276
time is 2667.1502430438995, cover line is 52276
time is 2689.028158903122, cover line is 52620
time is 2717.1441559791565, cover line is 52620
time is 2739.067248106003, cover line is 52620
time is 2760.8813099861145, cover line is 52639
time is 2782.6851000785828, cover line is 53003
time is 2804.794209957123, cover line is 53115
time is 2914.9028871059418, cover line is 53124
time is 2936.800024032593, cover line is 53124
time is 2962.9125559329987, cover line is 53124
time is 3063.178615093231, cover line is 53130
time is 3085.395884037018, cover line is 53157
time is 3107.761575937271, cover line is 53157
time is 3129.9875359535217, cover line is 53304
time is 3152.312716960907, cover line is 53378
time is 3174.9332880973816, cover line is 54002
time is 3265.7934200763702, cover line is 54189
time is 3297.171585083008, cover line is 54189
time is 3397.8379600048065, cover line is 54328
time is 3418.625389099121, cover line is 54328
time is 3598.4848639965057, cover line is 54330
time is 3808.4357409477234, cover line is 54448
time is 4008.0658769607544, cover line is 54452
time is 4030.2924149036407, cover line is 55597
time is 4279.757261991501, cover line is 55597
time is 4301.940800905228, cover line is 56413
time is 4323.856519937515, cover line is 56424
time is 4345.9735770225525, cover line is 56442
time is 4515.4114990234375, cover line is 56442
time is 4715.5343289375305, cover line is 56442
time is 4885.136307954788, cover line is 56569
time is 4905.611501932144, cover line is 56569
time is 4986.480652093887, cover line is 56600
time is 5006.970347881317, cover line is 56600
time is 5029.031302928925, cover line is 56716
time is 5051.227900981903, cover line is 56719
time is 5073.562544107437, cover line is 56719
time is 5144.3535170555115, cover line is 56719
time is 5166.287575006485, cover line is 56719
time is 5188.561858892441, cover line is 56719
time is 5209.362616062164, cover line is 56719
time is 5329.492636919022, cover line is 56729
time is 5539.2833569049835, cover line is 56729
time is 5630.205570936203, cover line is 56729
time is 5810.143095970154, cover line is 56729
time is 5832.128658056259, cover line is 56738
time is 5854.421751022339, cover line is 56738
time is 5876.550352096558, cover line is 56750
time is 5898.467624902725, cover line is 56750
time is 5920.726303100586, cover line is 56751
time is 5991.78768992424, cover line is 56867
time is 6013.898257017136, cover line is 56867
time is 6213.792479991913, cover line is 56867
time is 6381.269773006439, cover line is 56867
time is 6520.624913930893, cover line is 57044
time is 6700.46612906456, cover line is 57044
time is 6722.675113916397, cover line is 57263
time is 6745.102402925491, cover line is 57263
time is 6835.842519044876, cover line is 57474
time is 6897.160564899445, cover line is 57474
time is 7107.630368947983, cover line is 57474
time is 7277.48951792717, cover line is 57575
time is 7358.494596004486, cover line is 58106
time is 7381.055181980133, cover line is 58106
time is 7407.202112913132, cover line is 58106
time is 7487.924226999283, cover line is 58172
time is 7588.937269926071, cover line is 58172
time is 7758.663331031799, cover line is 58172
time is 7781.029768943787, cover line is 58172
time is 7872.008445978165, cover line is 58791
time is 7894.259356021881, cover line is 58791
time is 7985.111346006393, cover line is 58919
time is 8005.429483890533, cover line is 58919
time is 8067.074714899063, cover line is 58931
time is 8167.707437038422, cover line is 59122
time is 8190.042844057083, cover line is 59124
time is 8400.17691397667, cover line is 59124
time is 8422.438297986984, cover line is 59127
time is 8444.734504938126, cover line is 59127
time is 8467.066972017288, cover line is 59127
time is 8489.324558973312, cover line is 59133
time is 8659.070519924164, cover line is 59133
time is 8783.100285053253, cover line is 59134
time is 8803.285356998444, cover line is 59134
time is 9013.628352880478, cover line is 59134
time is 9073.449521064758, cover line is 59236
time is 9099.78125500679, cover line is 59236
time is 9129.597578048706, cover line is 59236
time is 9152.281634092331, cover line is 59236
time is 9174.939517974854, cover line is 59236
time is 9375.394769906998, cover line is 59241
time is 9437.435422897339, cover line is 61032
time is 9528.85963010788, cover line is 61032
time is 9590.882570028305, cover line is 61050
time is 9672.61320400238, cover line is 61050
time is 9695.523931026459, cover line is 61053
time is 9876.047190904617, cover line is 61056
time is 9996.955605983734, cover line is 61056
time is 10088.523505926132, cover line is 61594
