turn is 0, cover line is 1
turn is 229, cover line is 9229
turn is 230, cover line is 9229
turn is 231, cover line is 9229
turn is 232, cover line is 9229
turn is 233, cover line is 9229
turn is 234, cover line is 9229
turn is 235, cover line is 9229
turn is 236, cover line is 9241
turn is 237, cover line is 9241
turn is 238, cover line is 9241
turn is 239, cover line is 9241
turn is 240, cover line is 9244
turn is 241, cover line is 9244
turn is 242, cover line is 9244
turn is 243, cover line is 9259
turn is 244, cover line is 9259
turn is 245, cover line is 9259
turn is 246, cover line is 9259
turn is 247, cover line is 9259
turn is 248, cover line is 9259
turn is 249, cover line is 9259
turn is 250, cover line is 9259
turn is 251, cover line is 9259
turn is 252, cover line is 9294
turn is 253, cover line is 9294
turn is 254, cover line is 9313
turn is 255, cover line is 9313
turn is 256, cover line is 9313
turn is 257, cover line is 9313
turn is 258, cover line is 9313
turn is 259, cover line is 9369
turn is 260, cover line is 9369
turn is 261, cover line is 9369
turn is 262, cover line is 9369
turn is 263, cover line is 9369
turn is 264, cover line is 9369
turn is 265, cover line is 9369
turn is 266, cover line is 9369
turn is 267, cover line is 9435
turn is 268, cover line is 9435
turn is 269, cover line is 9435
turn is 270, cover line is 9435
turn is 271, cover line is 9435
turn is 272, cover line is 9435
turn is 273, cover line is 9435
turn is 274, cover line is 9435
turn is 275, cover line is 9435
turn is 276, cover line is 9732
turn is 277, cover line is 9732
turn is 278, cover line is 9732
turn is 279, cover line is 9732
turn is 280, cover line is 9732
turn is 281, cover line is 9732
turn is 282, cover line is 9732
turn is 283, cover line is 9732
turn is 284, cover line is 9779
turn is 285, cover line is 9779
turn is 286, cover line is 9779
turn is 287, cover line is 9779
turn is 288, cover line is 9779
turn is 289, cover line is 9784
turn is 290, cover line is 9784
turn is 291, cover line is 9784
turn is 292, cover line is 9784
turn is 293, cover line is 9784
turn is 294, cover line is 9784
turn is 295, cover line is 9807
turn is 296, cover line is 9807
turn is 297, cover line is 9807
turn is 298, cover line is 9807
turn is 299, cover line is 9807
turn is 300, cover line is 9807
turn is 301, cover line is 9807
turn is 302, cover line is 9807
turn is 303, cover line is 9807
turn is 304, cover line is 9807
turn is 305, cover line is 9807
turn is 306, cover line is 9807
turn is 307, cover line is 9807
turn is 308, cover line is 9807
turn is 309, cover line is 9807
turn is 310, cover line is 9807
turn is 311, cover line is 9807
turn is 312, cover line is 9807
turn is 313, cover line is 9807
turn is 314, cover line is 9807
turn is 315, cover line is 9807
turn is 316, cover line is 9807
turn is 317, cover line is 9807
turn is 318, cover line is 9807
turn is 319, cover line is 9807
turn is 320, cover line is 9807
turn is 321, cover line is 9807
turn is 322, cover line is 9807
turn is 323, cover line is 9807
turn is 324, cover line is 9807
turn is 325, cover line is 9810
turn is 326, cover line is 9810
turn is 327, cover line is 9810
turn is 328, cover line is 9810
turn is 329, cover line is 9810
turn is 330, cover line is 9810
turn is 331, cover line is 9810
turn is 332, cover line is 9810
turn is 333, cover line is 9810
turn is 334, cover line is 9813
turn is 335, cover line is 9813
turn is 336, cover line is 9813
turn is 337, cover line is 9838
turn is 338, cover line is 9838
turn is 339, cover line is 9838
turn is 340, cover line is 9842
turn is 341, cover line is 9842
turn is 342, cover line is 9842
turn is 343, cover line is 9860
turn is 344, cover line is 9860
turn is 345, cover line is 9860
turn is 346, cover line is 9860
turn is 347, cover line is 9863
turn is 348, cover line is 9863
turn is 349, cover line is 9863
turn is 350, cover line is 9863
turn is 351, cover line is 9933
turn is 352, cover line is 9933
turn is 353, cover line is 9933
turn is 354, cover line is 9933
turn is 355, cover line is 9933
turn is 356, cover line is 9933
turn is 357, cover line is 9933
turn is 358, cover line is 9933
turn is 359, cover line is 9933
turn is 360, cover line is 9933
turn is 361, cover line is 9933
turn is 362, cover line is 9933
turn is 363, cover line is 9933
turn is 364, cover line is 9933
turn is 365, cover line is 10032
turn is 366, cover line is 10032
turn is 367, cover line is 10032
turn is 368, cover line is 10035
turn is 369, cover line is 10035
turn is 370, cover line is 10035
turn is 371, cover line is 10035
turn is 372, cover line is 10035
turn is 373, cover line is 10035
turn is 374, cover line is 10035
turn is 375, cover line is 10035
turn is 376, cover line is 10035
turn is 377, cover line is 10039
turn is 378, cover line is 10039
turn is 379, cover line is 10040
turn is 380, cover line is 10041
turn is 381, cover line is 10041
turn is 382, cover line is 10041
turn is 383, cover line is 10041
turn is 384, cover line is 10041
turn is 385, cover line is 10041
turn is 386, cover line is 10041
turn is 387, cover line is 10041
turn is 388, cover line is 10041
turn is 389, cover line is 10041
turn is 390, cover line is 10041
turn is 391, cover line is 10041
turn is 392, cover line is 10109
turn is 393, cover line is 10109
turn is 394, cover line is 10109
