turn is 0, now time is 0.5245299339294434, scover line is 0
turn is 1, now time is 20.715789079666138, scover line is 16855
turn is 2, now time is 43.49873995780945, scover line is 16856
turn is 3, now time is 77.68707203865051, scover line is 17578
turn is 4, now time is 170.9628040790558, scover line is 18501
turn is 5, now time is 196.19522190093994, scover line is 18703
turn is 6, now time is 348.304349899292, scover line is 19646
turn is 7, now time is 372.65002393722534, scover line is 19923
turn is 8, now time is 545.0476400852203, scover line is 21030
turn is 9, now time is 570.3722689151764, scover line is 21193
turn is 10, now time is 595.9745659828186, scover line is 21672
turn is 11, now time is 779.5902829170227, scover line is 21685
turn is 12, now time is 804.7971570491791, scover line is 26770
turn is 13, now time is 969.2587490081787, scover line is 26770
turn is 14, now time is 1066.3708989620209, scover line is 30841
turn is 15, now time is 1252.7308180332184, scover line is 31101
turn is 16, now time is 1280.992448091507, scover line is 31101
turn is 17, now time is 1311.0069470405579, scover line is 31791
turn is 18, now time is 1398.6859090328217, scover line is 31791
turn is 19, now time is 1437.0145530700684, scover line is 31791
turn is 20, now time is 1467.5599629878998, scover line is 31946
turn is 21, now time is 1575.0708990097046, scover line is 32017
turn is 22, now time is 1604.577537059784, scover line is 32291
turn is 23, now time is 1792.031184911728, scover line is 32325
turn is 24, now time is 1879.769196987152, scover line is 32328
turn is 25, now time is 1909.0017259120941, scover line is 32510
turn is 26, now time is 2017.0830719470978, scover line is 32510
turn is 27, now time is 2046.9582788944244, scover line is 32761
turn is 28, now time is 2076.4465560913086, scover line is 32764
turn is 29, now time is 2106.1458699703217, scover line is 32985
turn is 30, now time is 2135.883441925049, scover line is 33268
turn is 31, now time is 2165.1021900177, scover line is 35815
turn is 32, now time is 2195.236613035202, scover line is 35954
turn is 33, now time is 2294.66144490242, scover line is 36277
turn is 34, now time is 2463.081090927124, scover line is 36278
turn is 35, now time is 2621.498195886612, scover line is 36278
turn is 36, now time is 2659.4747610092163, scover line is 37581
turn is 37, now time is 2690.5954899787903, scover line is 37704
turn is 38, now time is 2759.3010580539703, scover line is 37704
turn is 39, now time is 2938.2625789642334, scover line is 37785
turn is 40, now time is 2970.302859067917, scover line is 37785
turn is 41, now time is 3000.0613770484924, scover line is 37785
turn is 42, now time is 3158.635297060013, scover line is 37946
turn is 43, now time is 3188.9689309597015, scover line is 38826
turn is 44, now time is 3221.5376420021057, scover line is 38826
turn is 45, now time is 3253.310765981674, scover line is 39138
turn is 46, now time is 3383.8543660640717, scover line is 39626
turn is 47, now time is 3415.2767939567566, scover line is 40165
turn is 48, now time is 3496.7658569812775, scover line is 40180
turn is 49, now time is 3527.812623977661, scover line is 40180
turn is 50, now time is 3560.033915042877, scover line is 42816
turn is 51, now time is 3592.362345933914, scover line is 42820
turn is 52, now time is 3625.2379579544067, scover line is 43000
turn is 53, now time is 3746.120924949646, scover line is 43048
turn is 54, now time is 3778.4790279865265, scover line is 43277
turn is 55, now time is 3810.6066439151764, scover line is 43936
turn is 56, now time is 3843.0555930137634, scover line is 43947
turn is 57, now time is 3944.162453889847, scover line is 43947
turn is 58, now time is 4024.8095541000366, scover line is 44172
turn is 59, now time is 4067.576355934143, scover line is 44173
turn is 60, now time is 4100.502777099609, scover line is 44173
turn is 61, now time is 4281.71438908577, scover line is 44173
turn is 62, now time is 4441.939553976059, scover line is 44173
turn is 63, now time is 4482.885772943497, scover line is 44173
turn is 64, now time is 4642.988920927048, scover line is 44461
turn is 65, now time is 4674.687207937241, scover line is 45224
turn is 66, now time is 4786.026715993881, scover line is 45231
turn is 67, now time is 4897.1249051094055, scover line is 45231
turn is 68, now time is 4998.607882976532, scover line is 45231
turn is 69, now time is 5079.9040451049805, scover line is 45404
turn is 70, now time is 5112.959567070007, scover line is 45404
turn is 71, now time is 5145.944247961044, scover line is 45407
turn is 72, now time is 5177.643866062164, scover line is 45407
turn is 73, now time is 5431.159050941467, scover line is 45416
turn is 74, now time is 5532.371351003647, scover line is 45416
turn is 75, now time is 5633.753221988678, scover line is 45416
turn is 76, now time is 5667.34766292572, scover line is 45416
turn is 77, now time is 5700.568265914917, scover line is 45426
turn is 78, now time is 5732.989640951157, scover line is 45472
turn is 79, now time is 5834.658143043518, scover line is 48518
turn is 80, now time is 5867.483657121658, scover line is 48518
turn is 81, now time is 5901.041352033615, scover line is 48533
turn is 82, now time is 5934.3819460868835, scover line is 48535
turn is 83, now time is 5967.2784559726715, scover line is 48545
turn is 84, now time is 5999.209244966507, scover line is 48545
turn is 85, now time is 6110.918279886246, scover line is 48545
turn is 86, now time is 6251.239588975906, scover line is 48561
turn is 87, now time is 6284.422586917877, scover line is 48561
turn is 88, now time is 6464.7138640880585, scover line is 48561
turn is 89, now time is 6497.737754106522, scover line is 48670
turn is 90, now time is 6531.4001541137695, scover line is 48682
turn is 91, now time is 6564.9138169288635, scover line is 48693
turn is 92, now time is 6597.849610090256, scover line is 49053
turn is 93, now time is 6631.828325033188, scover line is 49053
turn is 94, now time is 6667.007956981659, scover line is 49053
turn is 95, now time is 6702.203308105469, scover line is 49053
turn is 96, now time is 6746.835870981216, scover line is 49053
turn is 97, now time is 6789.179572105408, scover line is 49053
turn is 98, now time is 6890.313294887543, scover line is 49053
turn is 99, now time is 6921.490348100662, scover line is 49053
turn is 100, now time is 6953.210681915283, scover line is 49100
turn is 101, now time is 6985.833174943924, scover line is 49235
turn is 102, now time is 7019.290277957916, scover line is 49395
turn is 103, now time is 7120.24120092392, scover line is 49397
turn is 104, now time is 7292.408411026001, scover line is 49400
turn is 105, now time is 7383.335783958435, scover line is 49400
turn is 106, now time is 7416.097549915314, scover line is 49401
turn is 107, now time is 7449.113429069519, scover line is 49558
turn is 108, now time is 7481.649128913879, scover line is 49577
turn is 109, now time is 7651.8314480781555, scover line is 49577
