time is 0.5245299339294434, cover line is 0
time is 20.715789079666138, cover line is 0
time is 43.49873995780945, cover line is 16855
time is 77.68707203865051, cover line is 16856
time is 170.9628040790558, cover line is 17578
time is 196.19522190093994, cover line is 18501
time is 348.304349899292, cover line is 18703
time is 372.65002393722534, cover line is 19646
time is 545.0476400852203, cover line is 19923
time is 570.3722689151764, cover line is 21030
time is 595.9745659828186, cover line is 21193
time is 779.5902829170227, cover line is 21672
time is 804.7971570491791, cover line is 21685
time is 969.2587490081787, cover line is 26770
time is 1066.3708989620209, cover line is 26770
time is 1252.7308180332184, cover line is 30841
time is 1280.992448091507, cover line is 31101
time is 1311.0069470405579, cover line is 31101
time is 1398.6859090328217, cover line is 31791
time is 1437.0145530700684, cover line is 31791
time is 1467.5599629878998, cover line is 31791
time is 1575.0708990097046, cover line is 31946
time is 1604.577537059784, cover line is 32017
time is 1792.031184911728, cover line is 32291
time is 1879.769196987152, cover line is 32325
time is 1909.0017259120941, cover line is 32328
time is 2017.0830719470978, cover line is 32510
time is 2046.9582788944244, cover line is 32510
time is 2076.4465560913086, cover line is 32761
time is 2106.1458699703217, cover line is 32764
time is 2135.883441925049, cover line is 32985
time is 2165.1021900177, cover line is 33268
time is 2195.236613035202, cover line is 35815
time is 2294.66144490242, cover line is 35954
time is 2463.081090927124, cover line is 36277
time is 2621.498195886612, cover line is 36278
time is 2659.4747610092163, cover line is 36278
time is 2690.5954899787903, cover line is 37581
time is 2759.3010580539703, cover line is 37704
time is 2938.2625789642334, cover line is 37704
time is 2970.302859067917, cover line is 37785
time is 3000.0613770484924, cover line is 37785
time is 3158.635297060013, cover line is 37785
time is 3188.9689309597015, cover line is 37946
time is 3221.5376420021057, cover line is 38826
time is 3253.310765981674, cover line is 38826
time is 3383.8543660640717, cover line is 39138
time is 3415.2767939567566, cover line is 39626
time is 3496.7658569812775, cover line is 40165
time is 3527.812623977661, cover line is 40180
time is 3560.033915042877, cover line is 40180
time is 3592.362345933914, cover line is 42816
time is 3625.2379579544067, cover line is 42820
time is 3746.120924949646, cover line is 43000
time is 3778.4790279865265, cover line is 43048
time is 3810.6066439151764, cover line is 43277
time is 3843.0555930137634, cover line is 43936
time is 3944.162453889847, cover line is 43947
time is 4024.8095541000366, cover line is 43947
time is 4067.576355934143, cover line is 44172
time is 4100.502777099609, cover line is 44173
time is 4281.71438908577, cover line is 44173
time is 4441.939553976059, cover line is 44173
time is 4482.885772943497, cover line is 44173
time is 4642.988920927048, cover line is 44173
time is 4674.687207937241, cover line is 44461
time is 4786.026715993881, cover line is 45224
time is 4897.1249051094055, cover line is 45231
time is 4998.607882976532, cover line is 45231
time is 5079.9040451049805, cover line is 45231
time is 5112.959567070007, cover line is 45404
time is 5145.944247961044, cover line is 45404
time is 5177.643866062164, cover line is 45407
time is 5431.159050941467, cover line is 45407
time is 5532.371351003647, cover line is 45416
time is 5633.753221988678, cover line is 45416
time is 5667.34766292572, cover line is 45416
time is 5700.568265914917, cover line is 45416
time is 5732.989640951157, cover line is 45426
time is 5834.658143043518, cover line is 45472
time is 5867.483657121658, cover line is 48518
time is 5901.041352033615, cover line is 48518
time is 5934.3819460868835, cover line is 48533
time is 5967.2784559726715, cover line is 48535
time is 5999.209244966507, cover line is 48545
time is 6110.918279886246, cover line is 48545
time is 6251.239588975906, cover line is 48545
time is 6284.422586917877, cover line is 48561
time is 6464.7138640880585, cover line is 48561
time is 6497.737754106522, cover line is 48561
time is 6531.4001541137695, cover line is 48670
time is 6564.9138169288635, cover line is 48682
time is 6597.849610090256, cover line is 48693
time is 6631.828325033188, cover line is 49053
time is 6667.007956981659, cover line is 49053
time is 6702.203308105469, cover line is 49053
time is 6746.835870981216, cover line is 49053
time is 6789.179572105408, cover line is 49053
time is 6890.313294887543, cover line is 49053
time is 6921.490348100662, cover line is 49053
time is 6953.210681915283, cover line is 49053
time is 6985.833174943924, cover line is 49100
time is 7019.290277957916, cover line is 49235
time is 7120.24120092392, cover line is 49395
time is 7292.408411026001, cover line is 49397
time is 7383.335783958435, cover line is 49400
time is 7416.097549915314, cover line is 49400
time is 7449.113429069519, cover line is 49401
time is 7481.649128913879, cover line is 49558
time is 7651.8314480781555, cover line is 49577
time is 7683.622540950775, cover line is 49577
time is 7716.46614408493, cover line is 49577
time is 7876.520487070084, cover line is 49577
time is 8046.722265958786, cover line is 49579
time is 8079.807168006897, cover line is 49586
time is 8171.681835889816, cover line is 49586
time is 8204.640898942947, cover line is 49586
time is 8237.927788972855, cover line is 49586
time is 8270.518513917923, cover line is 49690
time is 8430.570208072662, cover line is 49690
time is 8463.268326044083, cover line is 49690
time is 8495.173928022385, cover line is 50369
time is 8527.635590076447, cover line is 50372
time is 8558.486639976501, cover line is 50372
time is 8592.105751037598, cover line is 50372
time is 8624.886332988739, cover line is 50372
time is 8726.10896897316, cover line is 50403
time is 8785.155951976776, cover line is 50428
time is 8818.483573913574, cover line is 50428
time is 8851.259865999222, cover line is 50432
time is 8884.333945035934, cover line is 50473
time is 8915.99182510376, cover line is 50473
time is 9027.334356069565, cover line is 50473
time is 9108.566785097122, cover line is 50473
time is 9141.08502793312, cover line is 50544
time is 9182.162477016449, cover line is 50544
time is 9284.05565905571, cover line is 50590
time is 9454.886246919632, cover line is 50590
time is 9488.454566955566, cover line is 50590
