time is 0.20374798774719238, cover line is 0
time is 15.492900848388672, cover line is 31610
time is 34.479336977005005, cover line is 34604
time is 58.89552593231201, cover line is 34604
time is 78.72032499313354, cover line is 39096
time is 97.58004188537598, cover line is 42506
time is 244.76823592185974, cover line is 43081
time is 383.36552691459656, cover line is 43764
time is 402.7139959335327, cover line is 44519
time is 421.90465092658997, cover line is 45535
time is 440.0058660507202, cover line is 45640
time is 459.23293685913086, cover line is 46254
time is 587.8484258651733, cover line is 51316
time is 613.4246280193329, cover line is 51316
time is 634.4808738231659, cover line is 51480
time is 654.9662079811096, cover line is 52088
time is 676.9753060340881, cover line is 55710
time is 747.1754369735718, cover line is 55882
time is 807.8311879634857, cover line is 56020
time is 947.4744689464569, cover line is 56366
time is 968.7652428150177, cover line is 58614
time is 990.8561680316925, cover line is 58908
time is 1071.5021648406982, cover line is 60568
time is 1094.0190079212189, cover line is 60882
time is 1115.8345069885254, cover line is 60989
time is 1186.9314358234406, cover line is 60994
time is 1208.9742228984833, cover line is 61095
time is 1231.8812119960785, cover line is 61413
time is 1324.482892036438, cover line is 61679
time is 1386.4251079559326, cover line is 61845
time is 1477.6157448291779, cover line is 61916
time is 1508.6843738555908, cover line is 61916
time is 1531.3089890480042, cover line is 62055
time is 1553.0959148406982, cover line is 62299
time is 1574.7533628940582, cover line is 62299
time is 1597.5427639484406, cover line is 62338
time is 1619.2488749027252, cover line is 62342
time is 1760.8751299381256, cover line is 62342
time is 1783.2184369564056, cover line is 62430
time is 1874.9616739749908, cover line is 62745
time is 1897.7993199825287, cover line is 63018
time is 1920.8045709133148, cover line is 63939
time is 1943.2491149902344, cover line is 63939
time is 2003.8576838970184, cover line is 63946
time is 2075.8232588768005, cover line is 64020
time is 2097.555380821228, cover line is 64290
time is 2120.291949033737, cover line is 64803
time is 2143.7772359848022, cover line is 64813
time is 2166.0394909381866, cover line is 65759
time is 2238.034101009369, cover line is 65768
time is 2329.826551914215, cover line is 65768
time is 2441.1996569633484, cover line is 65769
time is 2463.7622439861298, cover line is 65781
time is 2603.8506948947906, cover line is 65925
time is 2625.6968488693237, cover line is 65930
time is 2647.214746952057, cover line is 65950
time is 2670.2234349250793, cover line is 65968
time is 2700.4180748462677, cover line is 65968
time is 2723.3044159412384, cover line is 65986
time is 2744.545101881027, cover line is 65986
time is 2904.8435599803925, cover line is 65989
time is 2927.5564370155334, cover line is 65989
time is 3008.8894670009613, cover line is 66146
time is 3033.1467769145966, cover line is 66146
time is 3156.7857179641724, cover line is 66146
time is 3178.9772758483887, cover line is 66162
time is 3201.669524908066, cover line is 66379
time is 3223.9427230358124, cover line is 66719
time is 3248.6793978214264, cover line is 66814
time is 3271.162745952606, cover line is 66839
time is 3294.010862827301, cover line is 66909
time is 3317.180375814438, cover line is 67184
time is 3340.0809350013733, cover line is 67184
time is 3362.8278889656067, cover line is 67389
time is 3385.3208889961243, cover line is 67389
time is 3407.5407948493958, cover line is 67501
time is 3432.2878098487854, cover line is 68091
time is 3574.3017048835754, cover line is 68253
time is 3597.47310590744, cover line is 68262
time is 3650.5773379802704, cover line is 68401
time is 3672.8744168281555, cover line is 68850
time is 3695.6370499134064, cover line is 69033
time is 3718.4454369544983, cover line is 69112
time is 3760.1836128234863, cover line is 69367
time is 3901.299798965454, cover line is 69375
time is 3923.3986229896545, cover line is 69375
time is 3945.9544909000397, cover line is 69419
time is 3968.7709279060364, cover line is 69724
time is 3991.075297832489, cover line is 69724
time is 4014.546576023102, cover line is 69802
time is 4038.1065418720245, cover line is 71143
time is 4110.933298826218, cover line is 71143
time is 4133.359841823578, cover line is 71225
time is 4157.292338848114, cover line is 71225
time is 4278.530798912048, cover line is 71225
time is 4301.179451942444, cover line is 71589
time is 4327.946377038956, cover line is 71589
time is 4351.676936864853, cover line is 71917
time is 4376.552660942078, cover line is 71917
time is 4399.786856889725, cover line is 71936
time is 4421.9920518398285, cover line is 72025
time is 4593.40678691864, cover line is 72029
time is 4616.2111120224, cover line is 72029
time is 4639.79617190361, cover line is 72029
time is 4662.815580844879, cover line is 72029
time is 4763.72939491272, cover line is 72029
time is 4786.26446390152, cover line is 72370
time is 4859.09805393219, cover line is 72766
time is 4891.205050945282, cover line is 72766
time is 4935.4740998744965, cover line is 72780
time is 4959.006501913071, cover line is 72818
time is 5051.646333932877, cover line is 72842
time is 5194.15211892128, cover line is 72842
time is 5216.761016845703, cover line is 72842
time is 5240.372144937515, cover line is 72842
time is 5267.100013971329, cover line is 72842
time is 5369.4118309021, cover line is 73045
time is 5391.686251878738, cover line is 73045
time is 5455.222295999527, cover line is 73045
time is 5477.536928892136, cover line is 73045
time is 5551.151880025864, cover line is 73052
time is 5574.641849994659, cover line is 73052
time is 5601.324690818787, cover line is 73052
time is 5625.246227025986, cover line is 73198
time is 5647.266590833664, cover line is 73198
time is 5698.5942640304565, cover line is 73200
time is 5721.608819961548, cover line is 73319
time is 5744.627137899399, cover line is 73319
time is 5807.065670967102, cover line is 73409
time is 5830.516386985779, cover line is 73409
time is 5911.423543930054, cover line is 73579
time is 6031.879696846008, cover line is 73582
time is 6054.759658813477, cover line is 73582
time is 6081.529080867767, cover line is 73582
time is 6103.836504936218, cover line is 73582
time is 6226.178109884262, cover line is 73828
time is 6249.055452823639, cover line is 73828
time is 6321.132031917572, cover line is 73828
time is 6442.527413845062, cover line is 73828
time is 6579.763957977295, cover line is 73828
time is 6611.863348007202, cover line is 73828
time is 6635.586405038834, cover line is 73832
time is 6660.11421585083, cover line is 73832
time is 6742.132026910782, cover line is 73848
time is 6823.939254045486, cover line is 73856
time is 6849.615593910217, cover line is 74089
time is 6872.98725104332, cover line is 74089
time is 6895.68968296051, cover line is 74091
time is 7060.096649885178, cover line is 74091
time is 7181.784150838852, cover line is 74091
time is 7205.554734945297, cover line is 75077
time is 7336.421322822571, cover line is 75077
time is 7359.5970249176025, cover line is 75354
time is 7432.909905910492, cover line is 75354
time is 7553.832316875458, cover line is 75357
time is 7576.127601861954, cover line is 75357
time is 7619.043341875076, cover line is 75357
time is 7642.943781852722, cover line is 75360
time is 7665.62811589241, cover line is 75360
time is 7737.491868972778, cover line is 75475
time is 7764.471693992615, cover line is 75475
time is 7787.0939338207245, cover line is 75631
time is 7817.4510588645935, cover line is 75733
time is 7841.942443847656, cover line is 75733
time is 7864.591037988663, cover line is 75804
time is 7887.442039012909, cover line is 75818
time is 8008.905346870422, cover line is 75885
time is 8110.245775938034, cover line is 75885
time is 8133.810267925262, cover line is 75950
time is 8244.884970903397, cover line is 76007
time is 8267.908632993698, cover line is 76370
time is 8290.729100942612, cover line is 76370
time is 8431.061471939087, cover line is 76370
time is 8454.419389009476, cover line is 76370
time is 8504.72816991806, cover line is 76370
time is 8528.201670885086, cover line is 76370
time is 8620.091352939606, cover line is 76495
time is 8641.352036952972, cover line is 76496
time is 8723.564198970795, cover line is 76496
time is 8746.419219017029, cover line is 77116
time is 8799.763870954514, cover line is 77180
time is 8822.159473896027, cover line is 77180
time is 8982.092124938965, cover line is 77180
time is 9044.005415916443, cover line is 77865
time is 9070.913449048996, cover line is 77865
time is 9093.601359844208, cover line is 77911
time is 9224.633143901825, cover line is 77911
time is 9248.756579875946, cover line is 77911
time is 9271.720806837082, cover line is 77911
time is 9295.553916931152, cover line is 77916
time is 9319.171123981476, cover line is 77916
time is 9351.758893966675, cover line is 77916
time is 9433.690033912659, cover line is 77916
time is 9457.348107814789, cover line is 77916
time is 9548.982439994812, cover line is 77935
time is 9571.130877017975, cover line is 77956
time is 9594.068151950836, cover line is 77956
