turn is 0, now time is 0.20374798774719238, scover line is 31610
turn is 1, now time is 15.492900848388672, scover line is 34604
turn is 2, now time is 34.479336977005005, scover line is 34604
turn is 3, now time is 58.89552593231201, scover line is 39096
turn is 4, now time is 78.72032499313354, scover line is 42506
turn is 5, now time is 97.58004188537598, scover line is 43081
turn is 6, now time is 244.76823592185974, scover line is 43764
turn is 7, now time is 383.36552691459656, scover line is 44519
turn is 8, now time is 402.7139959335327, scover line is 45535
turn is 9, now time is 421.90465092658997, scover line is 45640
turn is 10, now time is 440.0058660507202, scover line is 46254
turn is 11, now time is 459.23293685913086, scover line is 51316
turn is 12, now time is 587.8484258651733, scover line is 51316
turn is 13, now time is 613.4246280193329, scover line is 51480
turn is 14, now time is 634.4808738231659, scover line is 52088
turn is 15, now time is 654.9662079811096, scover line is 55710
turn is 16, now time is 676.9753060340881, scover line is 55882
turn is 17, now time is 747.1754369735718, scover line is 56020
turn is 18, now time is 807.8311879634857, scover line is 56366
turn is 19, now time is 947.4744689464569, scover line is 58614
turn is 20, now time is 968.7652428150177, scover line is 58908
turn is 21, now time is 990.8561680316925, scover line is 60568
turn is 22, now time is 1071.5021648406982, scover line is 60882
turn is 23, now time is 1094.0190079212189, scover line is 60989
turn is 24, now time is 1115.8345069885254, scover line is 60994
turn is 25, now time is 1186.9314358234406, scover line is 61095
turn is 26, now time is 1208.9742228984833, scover line is 61413
turn is 27, now time is 1231.8812119960785, scover line is 61679
turn is 28, now time is 1324.482892036438, scover line is 61845
turn is 29, now time is 1386.4251079559326, scover line is 61916
turn is 30, now time is 1477.6157448291779, scover line is 61916
turn is 31, now time is 1508.6843738555908, scover line is 62055
turn is 32, now time is 1531.3089890480042, scover line is 62299
turn is 33, now time is 1553.0959148406982, scover line is 62299
turn is 34, now time is 1574.7533628940582, scover line is 62338
turn is 35, now time is 1597.5427639484406, scover line is 62342
turn is 36, now time is 1619.2488749027252, scover line is 62342
turn is 37, now time is 1760.8751299381256, scover line is 62430
turn is 38, now time is 1783.2184369564056, scover line is 62745
turn is 39, now time is 1874.9616739749908, scover line is 63018
turn is 40, now time is 1897.7993199825287, scover line is 63939
turn is 41, now time is 1920.8045709133148, scover line is 63939
turn is 42, now time is 1943.2491149902344, scover line is 63946
turn is 43, now time is 2003.8576838970184, scover line is 64020
turn is 44, now time is 2075.8232588768005, scover line is 64290
turn is 45, now time is 2097.555380821228, scover line is 64803
turn is 46, now time is 2120.291949033737, scover line is 64813
turn is 47, now time is 2143.7772359848022, scover line is 65759
turn is 48, now time is 2166.0394909381866, scover line is 65768
turn is 49, now time is 2238.034101009369, scover line is 65768
turn is 50, now time is 2329.826551914215, scover line is 65769
turn is 51, now time is 2441.1996569633484, scover line is 65781
turn is 52, now time is 2463.7622439861298, scover line is 65925
turn is 53, now time is 2603.8506948947906, scover line is 65930
turn is 54, now time is 2625.6968488693237, scover line is 65950
turn is 55, now time is 2647.214746952057, scover line is 65968
turn is 56, now time is 2670.2234349250793, scover line is 65968
turn is 57, now time is 2700.4180748462677, scover line is 65986
turn is 58, now time is 2723.3044159412384, scover line is 65986
turn is 59, now time is 2744.545101881027, scover line is 65989
turn is 60, now time is 2904.8435599803925, scover line is 65989
turn is 61, now time is 2927.5564370155334, scover line is 66146
turn is 62, now time is 3008.8894670009613, scover line is 66146
turn is 63, now time is 3033.1467769145966, scover line is 66146
turn is 64, now time is 3156.7857179641724, scover line is 66162
turn is 65, now time is 3178.9772758483887, scover line is 66379
turn is 66, now time is 3201.669524908066, scover line is 66719
turn is 67, now time is 3223.9427230358124, scover line is 66814
turn is 68, now time is 3248.6793978214264, scover line is 66839
turn is 69, now time is 3271.162745952606, scover line is 66909
turn is 70, now time is 3294.010862827301, scover line is 67184
