time is 0.4024379253387451, cover line is 0
time is 15.71464490890503, cover line is 27437
time is 34.49260401725769, cover line is 28250
time is 220.79365706443787, cover line is 28676
time is 244.59846901893616, cover line is 28676
time is 263.3494210243225, cover line is 30449
time is 282.0688691139221, cover line is 30767
time is 301.18797302246094, cover line is 30928
time is 320.18952894210815, cover line is 31727
time is 339.5961880683899, cover line is 31930
time is 358.90326499938965, cover line is 32023
time is 498.34276700019836, cover line is 32023
time is 517.4884920120239, cover line is 32092
time is 536.8191120624542, cover line is 32104
time is 556.3292829990387, cover line is 32375
time is 575.7335619926453, cover line is 32615
time is 599.9654231071472, cover line is 32615
time is 618.8675909042358, cover line is 33102
time is 638.2657580375671, cover line is 33314
time is 657.7451848983765, cover line is 34877
time is 677.2502729892731, cover line is 34879
time is 696.7450280189514, cover line is 34962
time is 716.2092208862305, cover line is 34966
time is 763.0478029251099, cover line is 34966
time is 782.4591178894043, cover line is 35226
time is 959.3514130115509, cover line is 35850
time is 986.0898509025574, cover line is 35850
time is 1203.7746670246124, cover line is 35854
time is 1400.9866380691528, cover line is 35971
time is 1420.6978039741516, cover line is 36228
time is 1608.2471969127655, cover line is 42449
time is 1629.293685913086, cover line is 42625
time is 1650.6098840236664, cover line is 45037
time is 1749.909660100937, cover line is 45179
time is 1849.5772008895874, cover line is 45179
time is 1870.580612897873, cover line is 45179
time is 1891.8404650688171, cover line is 45499
time is 1991.4046730995178, cover line is 45521
time is 2012.7200241088867, cover line is 45899
time is 2033.9380939006805, cover line is 45927
time is 2055.2389030456543, cover line is 45969
time is 2076.6917350292206, cover line is 45969
time is 2098.1170670986176, cover line is 46013
time is 2123.845747947693, cover line is 46013
time is 2144.98694396019, cover line is 46013
time is 2215.5256729125977, cover line is 47364
time is 2236.9663078784943, cover line is 47365
time is 2415.9390330314636, cover line is 47368
time is 2515.9769320487976, cover line is 47401
time is 2615.8998329639435, cover line is 47543
time is 2640.946806907654, cover line is 47554
time is 2740.653657913208, cover line is 47572
time is 2762.118973970413, cover line is 47596
time is 2900.8182179927826, cover line is 47596
time is 3069.697119951248, cover line is 47596
time is 3091.1569039821625, cover line is 47605
time is 3261.205890893936, cover line is 47605
time is 3351.282772064209, cover line is 47955
time is 3561.4957559108734, cover line is 47955
time is 3583.0015869140625, cover line is 48760
time is 3683.398344039917, cover line is 51299
time is 3773.7087728977203, cover line is 52016
time is 3921.9419689178467, cover line is 52016
time is 4002.339763879776, cover line is 52016
time is 4282.342000007629, cover line is 52016
time is 4461.760138034821, cover line is 52051
time is 4522.903265953064, cover line is 52199
time is 4583.921855926514, cover line is 52199
time is 4605.441055059433, cover line is 52769
time is 4634.538274049759, cover line is 52769
time is 4714.725081920624, cover line is 52772
time is 4736.649302005768, cover line is 52772
time is 4936.185636043549, cover line is 52916
time is 5125.904160022736, cover line is 53842
time is 5147.589036941528, cover line is 54181
time is 5317.112601041794, cover line is 54236
time is 5338.944581031799, cover line is 54236
time is 5360.686198949814, cover line is 54241
time is 5382.395457983017, cover line is 54241
time is 5404.5519189834595, cover line is 54241
time is 5504.664427042007, cover line is 54345
time is 5526.649374008179, cover line is 54349
time is 5617.0823340415955, cover line is 54388
time is 5648.050221920013, cover line is 54388
time is 5718.021589040756, cover line is 54388
time is 5739.883326053619, cover line is 54388
time is 5761.781658887863, cover line is 54389
time is 5862.292423963547, cover line is 54389
time is 5882.856504917145, cover line is 54389
time is 6062.446400880814, cover line is 54560
time is 6081.903131008148, cover line is 54632
time is 6103.9444699287415, cover line is 54632
time is 6125.770262956619, cover line is 54647
time is 6195.6246910095215, cover line is 54749
time is 6217.494749069214, cover line is 54749
time is 6298.151923894882, cover line is 54759
time is 6320.163393974304, cover line is 54783
time is 6342.330223083496, cover line is 54783
time is 6372.183162927628, cover line is 54783
time is 6394.277188062668, cover line is 54783
time is 6474.969206094742, cover line is 54833
time is 6674.55128288269, cover line is 54851
time is 6696.415924072266, cover line is 54851
time is 6817.771281003952, cover line is 54851
time is 6839.611326932907, cover line is 54851
time is 6861.892910003662, cover line is 54865
time is 7051.7412168979645, cover line is 54865
time is 7073.392306089401, cover line is 54884
time is 7283.386770963669, cover line is 54884
time is 7364.646789073944, cover line is 57112
time is 7394.50372505188, cover line is 57112
time is 7425.20596408844, cover line is 57112
time is 7585.406754016876, cover line is 57112
time is 7607.620843887329, cover line is 57112
time is 7630.220355987549, cover line is 57112
time is 7651.4690980911255, cover line is 57112
time is 7831.384214878082, cover line is 57112
time is 8005.734594106674, cover line is 57112
time is 8096.788940906525, cover line is 57114
time is 8306.340965986252, cover line is 57114
time is 8328.579757928848, cover line is 57386
time is 8508.308361053467, cover line is 57386
time is 8530.651823997498, cover line is 57400
time is 8651.401314973831, cover line is 57400
time is 8673.66830611229, cover line is 57400
time is 8699.838429927826, cover line is 57400
time is 8731.194765090942, cover line is 57400
time is 8761.555181980133, cover line is 57400
time is 8852.283215045929, cover line is 57401
time is 8952.835995912552, cover line is 57401
time is 8974.230527877808, cover line is 57401
time is 8996.518614053726, cover line is 57401
time is 9018.637862920761, cover line is 57401
time is 9041.017168998718, cover line is 57401
time is 9072.593568086624, cover line is 57401
time is 9094.740674972534, cover line is 57401
time is 9115.096240997314, cover line is 57401
time is 9137.45661497116, cover line is 57405
time is 9168.891925096512, cover line is 57405
time is 9191.105712890625, cover line is 57577
time is 9213.716283082962, cover line is 57577
time is 9235.806751966476, cover line is 57577
time is 9258.3683989048, cover line is 57577
time is 9280.699143886566, cover line is 57657
time is 9303.04773902893, cover line is 57657
time is 9493.163645029068, cover line is 57657
time is 9573.202380895615, cover line is 57657
time is 9644.231323003769, cover line is 57797
time is 9666.700351953506, cover line is 57797
time is 9867.18418097496, cover line is 57797
time is 9897.711941957474, cover line is 57797
time is 9920.210669994354, cover line is 57797
time is 10089.944712877274, cover line is 57797
time is 10290.11592388153, cover line is 57797
time is 10510.50672197342, cover line is 57805
time is 10532.795164108276, cover line is 57805
time is 10554.990375041962, cover line is 57810
time is 10724.506769895554, cover line is 57812
time is 10747.056135892868, cover line is 57812
time is 10798.813842058182, cover line is 57840
time is 10828.674365997314, cover line is 57840
time is 10854.39710688591, cover line is 57842
time is 11064.936578035355, cover line is 57843
time is 11087.442569971085, cover line is 58290
time is 11297.509932994843, cover line is 58290
time is 11488.519795894623, cover line is 58290
time is 11514.518647909164, cover line is 58290
time is 11536.85377907753, cover line is 58423
time is 11617.890301942825, cover line is 58423
time is 11640.207283973694, cover line is 58489
time is 11671.557770967484, cover line is 58489
time is 11693.968789100647, cover line is 58622
time is 11716.29654288292, cover line is 58622
time is 11738.615717887878, cover line is 58781
time is 11829.340369939804, cover line is 58781
time is 12009.555397987366, cover line is 58791
time is 12032.02906703949, cover line is 58791
time is 12123.170835018158, cover line is 58791
time is 12145.714106082916, cover line is 58909
time is 12269.222084999084, cover line is 58909
time is 12479.505187034607, cover line is 58909
time is 12570.516489982605, cover line is 59059
time is 12592.716058969498, cover line is 59059
time is 12614.941493034363, cover line is 59060
time is 12637.558017015457, cover line is 59780
time is 12667.303495883942, cover line is 59780
time is 12689.227897882462, cover line is 59780
time is 12711.628416061401, cover line is 59780
time is 12812.685914993286, cover line is 59780
time is 12835.14448094368, cover line is 59780
time is 12857.692753076553, cover line is 59785
time is 13047.711790084839, cover line is 59785
time is 13077.390855073929, cover line is 59785
time is 13168.510324954987, cover line is 59785
time is 13189.368367910385, cover line is 59785
time is 13215.759017944336, cover line is 59785
time is 13238.183969020844, cover line is 59809
time is 13260.660358905792, cover line is 59816
time is 13283.21672987938, cover line is 59817
time is 13393.938138008118, cover line is 59825
time is 13543.73270893097, cover line is 59825
time is 13625.021687984467, cover line is 59825
time is 13647.202636957169, cover line is 59825
time is 13669.78606390953, cover line is 59825
time is 13692.268337965012, cover line is 59825
time is 13718.54942893982, cover line is 59825
time is 13741.123712062836, cover line is 59825
time is 13890.57859992981, cover line is 59825
time is 13913.007986068726, cover line is 59825
time is 13935.469419002533, cover line is 59825
time is 14016.709140062332, cover line is 59827
time is 14048.261598110199, cover line is 59827
time is 14070.997622966766, cover line is 59827
time is 14142.1964468956, cover line is 59833
time is 14164.743190050125, cover line is 59833
time is 14187.262823104858, cover line is 59834
time is 14209.723517894745, cover line is 59834
time is 14232.274005889893, cover line is 60262
time is 14254.738696098328, cover line is 60262
time is 14277.254482030869, cover line is 60262
time is 14329.02365899086, cover line is 60262
time is 14519.138418912888, cover line is 60262
time is 14541.76699090004, cover line is 60371
time is 14564.384598970413, cover line is 60371
time is 14731.24675989151, cover line is 60371
time is 14753.94855093956, cover line is 60371
time is 14776.499851942062, cover line is 60860
time is 14877.579740047455, cover line is 60860
time is 14900.326600074768, cover line is 60860
time is 14991.850636005402, cover line is 60860
time is 15013.305840015411, cover line is 60860
time is 15036.013607025146, cover line is 60860
time is 15062.287405967712, cover line is 60860
time is 15088.85607290268, cover line is 60860
time is 15180.185184001923, cover line is 60863
time is 15202.649602890015, cover line is 60863
time is 15223.427795886993, cover line is 60863
time is 15245.865640878677, cover line is 60878
time is 15268.797310113907, cover line is 60983
time is 15291.599328994751, cover line is 60983
time is 15314.223381996155, cover line is 60983
time is 15376.090282917023, cover line is 60983
time is 15402.663763999939, cover line is 60983
time is 15425.303978919983, cover line is 60983
time is 15632.317728042603, cover line is 60983
time is 15655.008003950119, cover line is 60983
time is 15677.66373705864, cover line is 60983
time is 15788.738177061081, cover line is 60983
time is 15811.594021081924, cover line is 60986
time is 15883.21950006485, cover line is 60988
time is 15965.15365600586, cover line is 60988
time is 15987.876467943192, cover line is 60988
time is 16010.748492956161, cover line is 62439
time is 16042.227329015732, cover line is 62439
time is 16065.119760990143, cover line is 62445
time is 16091.436367988586, cover line is 62445
time is 16114.161169052124, cover line is 62445
time is 16137.099509000778, cover line is 62484
time is 16159.885902881622, cover line is 62549
time is 16231.56879901886, cover line is 62549
time is 16254.600774049759, cover line is 62553
time is 16281.042382001877, cover line is 62553
time is 16303.416052103043, cover line is 62555
time is 16394.73675608635, cover line is 62664
time is 16496.002490997314, cover line is 62673
time is 16587.522681951523, cover line is 62673
time is 16669.011511087418, cover line is 62673
time is 16691.624165058136, cover line is 62673
time is 16714.47770690918, cover line is 62733
time is 16737.288888931274, cover line is 62733
time is 16760.23347210884, cover line is 62733
time is 16841.470778942108, cover line is 62736
time is 16864.43773508072, cover line is 62736
time is 16887.009727954865, cover line is 62736
time is 17087.994363069534, cover line is 62736
time is 17188.970661878586, cover line is 62736
time is 17215.352339029312, cover line is 62736
time is 17237.993149995804, cover line is 62736
time is 17260.699913978577, cover line is 62736
time is 17442.068001031876, cover line is 63482
time is 17468.595858097076, cover line is 63482
time is 17540.07897901535, cover line is 63539
time is 17563.163980960846, cover line is 63539
time is 17585.902151107788, cover line is 63539
time is 17733.900553941727, cover line is 63539
time is 17765.17736196518, cover line is 63539
time is 17791.705363035202, cover line is 63539
time is 17883.215416908264, cover line is 63539
time is 18064.4639480114, cover line is 63539
time is 18175.428692102432, cover line is 63539
time is 18334.392756938934, cover line is 63539
time is 18360.739248991013, cover line is 63539
time is 18387.50720191002, cover line is 63539
time is 18410.213032007217, cover line is 63541
time is 18433.06639289856, cover line is 63541
time is 18544.07777094841, cover line is 63559
time is 18567.06873202324, cover line is 63559
time is 18589.68705511093, cover line is 63559
time is 18621.55156302452, cover line is 63559
time is 18644.2701420784, cover line is 63559
time is 18745.69097304344, cover line is 63559
time is 18776.996556043625, cover line is 63559
time is 18799.734922885895, cover line is 63559
time is 18990.14779806137, cover line is 63559
time is 19012.878853082657, cover line is 63559
time is 19084.805667877197, cover line is 63559
time is 19205.837568044662, cover line is 63559
time is 19228.63483595848, cover line is 63559
time is 19251.723571062088, cover line is 63567
time is 19274.623230934143, cover line is 63567
time is 19297.44589495659, cover line is 63567
time is 19320.640820980072, cover line is 63567
time is 19343.56387901306, cover line is 63567
time is 19475.3988199234, cover line is 63567
time is 19498.406244039536, cover line is 63569
time is 19620.02076292038, cover line is 63569
time is 19810.46250796318, cover line is 63572
time is 19911.841985940933, cover line is 63572
time is 19934.67859506607, cover line is 63573
time is 20057.044725894928, cover line is 63884
time is 20080.393455028534, cover line is 63886
time is 20103.366518974304, cover line is 63887
time is 20126.327743053436, cover line is 63887
time is 20296.857724905014, cover line is 63887
time is 20320.085905075073, cover line is 63887
time is 20343.10354399681, cover line is 63887
time is 20366.12875199318, cover line is 63887
time is 20388.971523046494, cover line is 63887
time is 20412.087002038956, cover line is 63887
time is 20434.76716208458, cover line is 63887
time is 20615.221249103546, cover line is 63887
time is 20638.235275030136, cover line is 63887
time is 20661.36787891388, cover line is 63887
time is 20762.594044923782, cover line is 63887
time is 20785.490669965744, cover line is 63887
time is 20808.443729877472, cover line is 63887
time is 20835.145447969437, cover line is 63887
time is 20858.148343086243, cover line is 63887
time is 21036.57186102867, cover line is 63887
time is 21059.52819108963, cover line is 63963
time is 21216.679687976837, cover line is 63963
time is 21239.53081202507, cover line is 63963
time is 21410.03835105896, cover line is 63963
time is 21433.169039011, cover line is 63963
time is 21456.032607078552, cover line is 63963
time is 21578.757436990738, cover line is 63963
time is 21605.464576005936, cover line is 63963
time is 21628.26410293579, cover line is 63963
time is 21700.296117067337, cover line is 64022
time is 21771.993505954742, cover line is 64022
time is 21894.593463897705, cover line is 64022
time is 21917.719482898712, cover line is 64022
time is 22057.19798398018, cover line is 64022
time is 22237.666728019714, cover line is 64022
time is 22260.841336011887, cover line is 64569
time is 22293.3228430748, cover line is 64569
time is 22316.48014998436, cover line is 64569
time is 22342.974629878998, cover line is 64569
time is 22365.932543039322, cover line is 64569
time is 22597.889986038208, cover line is 64569
time is 22620.606538057327, cover line is 64569
time is 22643.716903924942, cover line is 64569
time is 22666.82279109955, cover line is 64569
time is 22689.581062078476, cover line is 64569
time is 22850.0598859787, cover line is 64574
time is 22873.022306919098, cover line is 64574
time is 22896.083348035812, cover line is 64574
time is 22918.892013072968, cover line is 64582
time is 23078.469480991364, cover line is 64582
time is 23289.386871099472, cover line is 64582
time is 23410.607002973557, cover line is 64582
time is 23601.273937940598, cover line is 64582
time is 23624.01242494583, cover line is 64582
time is 23651.063858032227, cover line is 64582
time is 23678.081082105637, cover line is 64582
time is 23701.2816529274, cover line is 64582
time is 23724.285305023193, cover line is 64582
time is 23747.145323991776, cover line is 64582
time is 23770.18501806259, cover line is 64582
time is 23951.03746008873, cover line is 64582
time is 23977.622716903687, cover line is 64582
time is 24059.290796995163, cover line is 64611
time is 24085.797014951706, cover line is 64611
time is 24108.950314044952, cover line is 65416
time is 24231.193765878677, cover line is 65416
time is 24254.18364095688, cover line is 65416
time is 24326.120924949646, cover line is 65450
time is 24349.07554793358, cover line is 65452
time is 24371.96106696129, cover line is 65452
time is 24483.23741197586, cover line is 65551
time is 24506.17057800293, cover line is 65551
time is 24529.10678601265, cover line is 65551
time is 24552.16370201111, cover line is 65551
time is 24575.197709083557, cover line is 65551
time is 24756.069708108902, cover line is 65551
time is 24778.07260990143, cover line is 65551
time is 24801.06218791008, cover line is 65551
time is 24882.817167043686, cover line is 65551
time is 24905.872200012207, cover line is 65551
time is 24928.933079004288, cover line is 65551
time is 25000.717705965042, cover line is 65551
time is 25024.023061037064, cover line is 65551
time is 25047.117036104202, cover line is 65551
time is 25070.116693019867, cover line is 65551
time is 25230.54098200798, cover line is 65551
time is 25262.02846288681, cover line is 65551
time is 25284.97429394722, cover line is 65551
time is 25396.108913898468, cover line is 65551
time is 25616.891396045685, cover line is 65551
time is 25828.054218053818, cover line is 65551
time is 25851.033323049545, cover line is 65551
time is 26011.46251797676, cover line is 65551
time is 26034.257244110107, cover line is 65551
time is 26057.373408079147, cover line is 65551
time is 26080.5552880764, cover line is 65551
time is 26172.077367067337, cover line is 65551
time is 26195.03393793106, cover line is 65554
time is 26218.103282928467, cover line is 65554
time is 26241.147948026657, cover line is 65554
