turn is 0, now time is 0.4024379253387451, scover line is 27437
turn is 1, now time is 15.71464490890503, scover line is 28250
turn is 2, now time is 34.49260401725769, scover line is 28676
turn is 3, now time is 220.79365706443787, scover line is 28676
turn is 4, now time is 244.59846901893616, scover line is 30449
turn is 5, now time is 263.3494210243225, scover line is 30767
turn is 6, now time is 282.0688691139221, scover line is 30928
turn is 7, now time is 301.18797302246094, scover line is 31727
turn is 8, now time is 320.18952894210815, scover line is 31930
turn is 9, now time is 339.5961880683899, scover line is 32023
turn is 10, now time is 358.90326499938965, scover line is 32023
turn is 11, now time is 498.34276700019836, scover line is 32092
turn is 12, now time is 517.4884920120239, scover line is 32104
turn is 13, now time is 536.8191120624542, scover line is 32375
turn is 14, now time is 556.3292829990387, scover line is 32615
turn is 15, now time is 575.7335619926453, scover line is 32615
turn is 16, now time is 599.9654231071472, scover line is 33102
turn is 17, now time is 618.8675909042358, scover line is 33314
turn is 18, now time is 638.2657580375671, scover line is 34877
turn is 19, now time is 657.7451848983765, scover line is 34879
turn is 20, now time is 677.2502729892731, scover line is 34962
turn is 21, now time is 696.7450280189514, scover line is 34966
turn is 22, now time is 716.2092208862305, scover line is 34966
turn is 23, now time is 763.0478029251099, scover line is 35226
turn is 24, now time is 782.4591178894043, scover line is 35850
turn is 25, now time is 959.3514130115509, scover line is 35850
turn is 26, now time is 986.0898509025574, scover line is 35854
turn is 27, now time is 1203.7746670246124, scover line is 35971
turn is 28, now time is 1400.9866380691528, scover line is 36228
turn is 29, now time is 1420.6978039741516, scover line is 42449
turn is 30, now time is 1608.2471969127655, scover line is 42625
turn is 31, now time is 1629.293685913086, scover line is 45037
turn is 32, now time is 1650.6098840236664, scover line is 45179
turn is 33, now time is 1749.909660100937, scover line is 45179
turn is 34, now time is 1849.5772008895874, scover line is 45179
turn is 35, now time is 1870.580612897873, scover line is 45499
turn is 36, now time is 1891.8404650688171, scover line is 45521
turn is 37, now time is 1991.4046730995178, scover line is 45899
turn is 38, now time is 2012.7200241088867, scover line is 45927
turn is 39, now time is 2033.9380939006805, scover line is 45969
turn is 40, now time is 2055.2389030456543, scover line is 45969
turn is 41, now time is 2076.6917350292206, scover line is 46013
turn is 42, now time is 2098.1170670986176, scover line is 46013
turn is 43, now time is 2123.845747947693, scover line is 46013
turn is 44, now time is 2144.98694396019, scover line is 47364
turn is 45, now time is 2215.5256729125977, scover line is 47365
turn is 46, now time is 2236.9663078784943, scover line is 47368
turn is 47, now time is 2415.9390330314636, scover line is 47401
turn is 48, now time is 2515.9769320487976, scover line is 47543
turn is 49, now time is 2615.8998329639435, scover line is 47554
turn is 50, now time is 2640.946806907654, scover line is 47572
turn is 51, now time is 2740.653657913208, scover line is 47596
turn is 52, now time is 2762.118973970413, scover line is 47596
turn is 53, now time is 2900.8182179927826, scover line is 47596
turn is 54, now time is 3069.697119951248, scover line is 47605
turn is 55, now time is 3091.1569039821625, scover line is 47605
turn is 56, now time is 3261.205890893936, scover line is 47955
turn is 57, now time is 3351.282772064209, scover line is 47955
turn is 58, now time is 3561.4957559108734, scover line is 48760
turn is 59, now time is 3583.0015869140625, scover line is 51299
turn is 60, now time is 3683.398344039917, scover line is 52016
turn is 61, now time is 3773.7087728977203, scover line is 52016
turn is 62, now time is 3921.9419689178467, scover line is 52016
turn is 63, now time is 4002.339763879776, scover line is 52016
turn is 64, now time is 4282.342000007629, scover line is 52051
turn is 65, now time is 4461.760138034821, scover line is 52199
turn is 66, now time is 4522.903265953064, scover line is 52199
turn is 67, now time is 4583.921855926514, scover line is 52769
turn is 68, now time is 4605.441055059433, scover line is 52769
turn is 69, now time is 4634.538274049759, scover line is 52772
turn is 70, now time is 4714.725081920624, scover line is 52772
turn is 71, now time is 4736.649302005768, scover line is 52916
turn is 72, now time is 4936.185636043549, scover line is 53842
turn is 73, now time is 5125.904160022736, scover line is 54181
turn is 74, now time is 5147.589036941528, scover line is 54236
turn is 75, now time is 5317.112601041794, scover line is 54236
turn is 76, now time is 5338.944581031799, scover line is 54241
turn is 77, now time is 5360.686198949814, scover line is 54241
turn is 78, now time is 5382.395457983017, scover line is 54241
turn is 79, now time is 5404.5519189834595, scover line is 54345
turn is 80, now time is 5504.664427042007, scover line is 54349
turn is 81, now time is 5526.649374008179, scover line is 54388
turn is 82, now time is 5617.0823340415955, scover line is 54388
turn is 83, now time is 5648.050221920013, scover line is 54388
turn is 84, now time is 5718.021589040756, scover line is 54388
turn is 85, now time is 5739.883326053619, scover line is 54389
turn is 86, now time is 5761.781658887863, scover line is 54389
turn is 87, now time is 5862.292423963547, scover line is 54389
turn is 88, now time is 5882.856504917145, scover line is 54560
turn is 89, now time is 6062.446400880814, scover line is 54632
turn is 90, now time is 6081.903131008148, scover line is 54632
turn is 91, now time is 6103.9444699287415, scover line is 54647
turn is 92, now time is 6125.770262956619, scover line is 54749
turn is 93, now time is 6195.6246910095215, scover line is 54749
turn is 94, now time is 6217.494749069214, scover line is 54759
turn is 95, now time is 6298.151923894882, scover line is 54783
turn is 96, now time is 6320.163393974304, scover line is 54783
turn is 97, now time is 6342.330223083496, scover line is 54783
turn is 98, now time is 6372.183162927628, scover line is 54783
turn is 99, now time is 6394.277188062668, scover line is 54833
turn is 100, now time is 6474.969206094742, scover line is 54851
turn is 101, now time is 6674.55128288269, scover line is 54851
turn is 102, now time is 6696.415924072266, scover line is 54851
turn is 103, now time is 6817.771281003952, scover line is 54851
turn is 104, now time is 6839.611326932907, scover line is 54865
turn is 105, now time is 6861.892910003662, scover line is 54865
turn is 106, now time is 7051.7412168979645, scover line is 54884
turn is 107, now time is 7073.392306089401, scover line is 54884
turn is 108, now time is 7283.386770963669, scover line is 57112
turn is 109, now time is 7364.646789073944, scover line is 57112
turn is 110, now time is 7394.50372505188, scover line is 57112
turn is 111, now time is 7425.20596408844, scover line is 57112
turn is 112, now time is 7585.406754016876, scover line is 57112
turn is 113, now time is 7607.620843887329, scover line is 57112
turn is 114, now time is 7630.220355987549, scover line is 57112
turn is 115, now time is 7651.4690980911255, scover line is 57112
turn is 116, now time is 7831.384214878082, scover line is 57112
turn is 117, now time is 8005.734594106674, scover line is 57114
turn is 118, now time is 8096.788940906525, scover line is 57114
turn is 119, now time is 8306.340965986252, scover line is 57386
turn is 120, now time is 8328.579757928848, scover line is 57386
turn is 121, now time is 8508.308361053467, scover line is 57400
turn is 122, now time is 8530.651823997498, scover line is 57400
turn is 123, now time is 8651.401314973831, scover line is 57400
turn is 124, now time is 8673.66830611229, scover line is 57400
turn is 125, now time is 8699.838429927826, scover line is 57400
turn is 126, now time is 8731.194765090942, scover line is 57400
turn is 127, now time is 8761.555181980133, scover line is 57401
turn is 128, now time is 8852.283215045929, scover line is 57401
turn is 129, now time is 8952.835995912552, scover line is 57401
turn is 130, now time is 8974.230527877808, scover line is 57401
turn is 131, now time is 8996.518614053726, scover line is 57401
turn is 132, now time is 9018.637862920761, scover line is 57401
turn is 133, now time is 9041.017168998718, scover line is 57401
turn is 134, now time is 9072.593568086624, scover line is 57401
turn is 135, now time is 9094.740674972534, scover line is 57401
turn is 136, now time is 9115.096240997314, scover line is 57405
turn is 137, now time is 9137.45661497116, scover line is 57405
turn is 138, now time is 9168.891925096512, scover line is 57577
turn is 139, now time is 9191.105712890625, scover line is 57577
turn is 140, now time is 9213.716283082962, scover line is 57577
turn is 141, now time is 9235.806751966476, scover line is 57577
turn is 142, now time is 9258.3683989048, scover line is 57657
turn is 143, now time is 9280.699143886566, scover line is 57657
turn is 144, now time is 9303.04773902893, scover line is 57657
turn is 145, now time is 9493.163645029068, scover line is 57657
turn is 146, now time is 9573.202380895615, scover line is 57797
turn is 147, now time is 9644.231323003769, scover line is 57797
turn is 148, now time is 9666.700351953506, scover line is 57797
turn is 149, now time is 9867.18418097496, scover line is 57797
turn is 150, now time is 9897.711941957474, scover line is 57797
turn is 151, now time is 9920.210669994354, scover line is 57797
turn is 152, now time is 10089.944712877274, scover line is 57797
turn is 153, now time is 10290.11592388153, scover line is 57805
turn is 154, now time is 10510.50672197342, scover line is 57805
turn is 155, now time is 10532.795164108276, scover line is 57810
turn is 156, now time is 10554.990375041962, scover line is 57812
turn is 157, now time is 10724.506769895554, scover line is 57812
turn is 158, now time is 10747.056135892868, scover line is 57840
turn is 159, now time is 10798.813842058182, scover line is 57840
turn is 160, now time is 10828.674365997314, scover line is 57842
turn is 161, now time is 10854.39710688591, scover line is 57843
turn is 162, now time is 11064.936578035355, scover line is 58290
turn is 163, now time is 11087.442569971085, scover line is 58290
turn is 164, now time is 11297.509932994843, scover line is 58290
turn is 165, now time is 11488.519795894623, scover line is 58290
turn is 166, now time is 11514.518647909164, scover line is 58423
turn is 167, now time is 11536.85377907753, scover line is 58423
turn is 168, now time is 11617.890301942825, scover line is 58489
turn is 169, now time is 11640.207283973694, scover line is 58489
turn is 170, now time is 11671.557770967484, scover line is 58622
turn is 171, now time is 11693.968789100647, scover line is 58622
turn is 172, now time is 11716.29654288292, scover line is 58781
turn is 173, now time is 11738.615717887878, scover line is 58781
turn is 174, now time is 11829.340369939804, scover line is 58791
turn is 175, now time is 12009.555397987366, scover line is 58791
turn is 176, now time is 12032.02906703949, scover line is 58791
turn is 177, now time is 12123.170835018158, scover line is 58909
turn is 178, now time is 12145.714106082916, scover line is 58909
turn is 179, now time is 12269.222084999084, scover line is 58909
turn is 180, now time is 12479.505187034607, scover line is 59059
turn is 181, now time is 12570.516489982605, scover line is 59059
turn is 182, now time is 12592.716058969498, scover line is 59060
turn is 183, now time is 12614.941493034363, scover line is 59780
turn is 184, now time is 12637.558017015457, scover line is 59780
turn is 185, now time is 12667.303495883942, scover line is 59780
turn is 186, now time is 12689.227897882462, scover line is 59780
turn is 187, now time is 12711.628416061401, scover line is 59780
turn is 188, now time is 12812.685914993286, scover line is 59780
turn is 189, now time is 12835.14448094368, scover line is 59785
turn is 190, now time is 12857.692753076553, scover line is 59785
turn is 191, now time is 13047.711790084839, scover line is 59785
turn is 192, now time is 13077.390855073929, scover line is 59785
turn is 193, now time is 13168.510324954987, scover line is 59785
turn is 194, now time is 13189.368367910385, scover line is 59785
turn is 195, now time is 13215.759017944336, scover line is 59809
turn is 196, now time is 13238.183969020844, scover line is 59816
turn is 197, now time is 13260.660358905792, scover line is 59817
turn is 198, now time is 13283.21672987938, scover line is 59825
turn is 199, now time is 13393.938138008118, scover line is 59825
turn is 200, now time is 13543.73270893097, scover line is 59825
turn is 201, now time is 13625.021687984467, scover line is 59825
turn is 202, now time is 13647.202636957169, scover line is 59825
turn is 203, now time is 13669.78606390953, scover line is 59825
turn is 204, now time is 13692.268337965012, scover line is 59825
turn is 205, now time is 13718.54942893982, scover line is 59825
