turn is 0, now time is 0.20697903633117676, scover line is 31498
turn is 1, now time is 103.91020584106445, scover line is 32180
turn is 2, now time is 261.03132700920105, scover line is 33562
turn is 3, now time is 368.9648299217224, scover line is 34806
turn is 4, now time is 388.4460289478302, scover line is 35035
turn is 5, now time is 425.97882199287415, scover line is 35035
turn is 6, now time is 454.06813383102417, scover line is 35460
turn is 7, now time is 591.4918508529663, scover line is 44838
turn is 8, now time is 749.6810369491577, scover line is 44932
turn is 9, now time is 888.462620973587, scover line is 45543
turn is 10, now time is 988.1431510448456, scover line is 45543
turn is 11, now time is 1116.9622418880463, scover line is 46718
turn is 12, now time is 1138.1239399909973, scover line is 47705
turn is 13, now time is 1159.6019299030304, scover line is 47940
turn is 14, now time is 1181.1150398254395, scover line is 48175
turn is 15, now time is 1271.233160018921, scover line is 48474
turn is 16, now time is 1440.498656988144, scover line is 48660
turn is 17, now time is 1550.2303149700165, scover line is 48660
turn is 18, now time is 1580.810966014862, scover line is 49115
turn is 19, now time is 1739.8532609939575, scover line is 49332
turn is 20, now time is 1760.406424999237, scover line is 49397
turn is 21, now time is 1782.0874528884888, scover line is 50509
turn is 22, now time is 1803.623929977417, scover line is 50509
turn is 23, now time is 1825.0032358169556, scover line is 50509
turn is 24, now time is 1846.8501720428467, scover line is 50509
turn is 25, now time is 1866.7497038841248, scover line is 50509
turn is 26, now time is 1897.5186169147491, scover line is 50509
turn is 27, now time is 2046.7342870235443, scover line is 50696
turn is 28, now time is 2068.7082619667053, scover line is 50729
turn is 29, now time is 2090.601238965988, scover line is 50729
turn is 30, now time is 2270.4616169929504, scover line is 50821
turn is 31, now time is 2292.4079790115356, scover line is 50821
turn is 32, now time is 2318.387230873108, scover line is 50824
turn is 33, now time is 2477.6939890384674, scover line is 52213
turn is 34, now time is 2499.4787719249725, scover line is 52352
turn is 35, now time is 2580.0034079551697, scover line is 53563
turn is 36, now time is 2601.9511108398438, scover line is 54114
turn is 37, now time is 2623.9492728710175, scover line is 57849
turn is 38, now time is 2704.919574022293, scover line is 57947
turn is 39, now time is 2854.6722328662872, scover line is 57950
turn is 40, now time is 2876.5073800086975, scover line is 58103
turn is 41, now time is 2898.765748977661, scover line is 58103
turn is 42, now time is 3022.7192430496216, scover line is 58103
turn is 43, now time is 3062.352712869644, scover line is 58103
turn is 44, now time is 3153.07430100441, scover line is 58103
turn is 45, now time is 3179.297322034836, scover line is 58374
turn is 46, now time is 3260.4279069900513, scover line is 58374
turn is 47, now time is 3280.519161939621, scover line is 58374
turn is 48, now time is 3306.999491930008, scover line is 58374
turn is 49, now time is 3356.4755859375, scover line is 59134
turn is 50, now time is 3378.7364869117737, scover line is 59134
turn is 51, now time is 3408.681699037552, scover line is 59207
turn is 52, now time is 3429.7570848464966, scover line is 59208
turn is 53, now time is 3511.077409029007, scover line is 59423
turn is 54, now time is 3532.407152891159, scover line is 59754
turn is 55, now time is 3554.8023719787598, scover line is 60385
turn is 56, now time is 3694.4197759628296, scover line is 62310
turn is 57, now time is 3717.102465867996, scover line is 64294
turn is 58, now time is 3739.762806892395, scover line is 64305
turn is 59, now time is 3762.7058579921722, scover line is 64309
turn is 60, now time is 3786.236090898514, scover line is 64309
turn is 61, now time is 3819.1253700256348, scover line is 64468
turn is 62, now time is 3842.308501958847, scover line is 64692
turn is 63, now time is 3865.4008078575134, scover line is 64702
turn is 64, now time is 3888.548028945923, scover line is 64702
turn is 65, now time is 3911.741374015808, scover line is 64702
turn is 66, now time is 3933.149067878723, scover line is 64717
turn is 67, now time is 3955.6287338733673, scover line is 64717
turn is 68, now time is 3977.153347015381, scover line is 64761
turn is 69, now time is 4000.3793699741364, scover line is 64761
turn is 70, now time is 4022.2776160240173, scover line is 64761
turn is 71, now time is 4053.1931359767914, scover line is 64761
turn is 72, now time is 4224.144644021988, scover line is 64872
turn is 73, now time is 4247.346190929413, scover line is 64886
turn is 74, now time is 4329.3613958358765, scover line is 65008
turn is 75, now time is 4480.16995882988, scover line is 65008
turn is 76, now time is 4620.664819955826, scover line is 65008
turn is 77, now time is 4722.341024875641, scover line is 66061
turn is 78, now time is 4883.175425052643, scover line is 66061
turn is 79, now time is 5013.985059976578, scover line is 66061
turn is 80, now time is 5034.738647937775, scover line is 66066
turn is 81, now time is 5058.066357851028, scover line is 67108
turn is 82, now time is 5149.964169025421, scover line is 67108
turn is 83, now time is 5270.93462395668, scover line is 67108
turn is 84, now time is 5294.39106297493, scover line is 67108
turn is 85, now time is 5424.8727860450745, scover line is 67108
turn is 86, now time is 5448.407037973404, scover line is 67163
turn is 87, now time is 5540.694798946381, scover line is 68076
turn is 88, now time is 5564.144729852676, scover line is 68076
turn is 89, now time is 5675.882087945938, scover line is 68076
turn is 90, now time is 5699.452276945114, scover line is 68365
turn is 91, now time is 5723.072892904282, scover line is 68365
turn is 92, now time is 5805.597079992294, scover line is 68365
turn is 93, now time is 5829.27126288414, scover line is 68365
turn is 94, now time is 5852.807874917984, scover line is 68365
turn is 95, now time is 5876.124182939529, scover line is 68365
turn is 96, now time is 5907.807746887207, scover line is 68365
turn is 97, now time is 5934.746494054794, scover line is 68365
turn is 98, now time is 5962.024298906326, scover line is 68374
turn is 99, now time is 5985.149236917496, scover line is 68374
turn is 100, now time is 6012.4425530433655, scover line is 68494
turn is 101, now time is 6114.025115966797, scover line is 68506
turn is 102, now time is 6196.45459485054, scover line is 68506
turn is 103, now time is 6219.9609479904175, scover line is 68506
turn is 104, now time is 6246.95685005188, scover line is 68506
turn is 105, now time is 6274.069157838821, scover line is 68906
turn is 106, now time is 6356.079634904861, scover line is 68906
turn is 107, now time is 6379.701112031937, scover line is 68906
turn is 108, now time is 6403.238616943359, scover line is 68906
turn is 109, now time is 6430.37038898468, scover line is 68969
turn is 110, now time is 6453.918294906616, scover line is 68969
turn is 111, now time is 6476.109947919846, scover line is 68969
turn is 112, now time is 6499.049939870834, scover line is 69155
turn is 113, now time is 6581.320895910263, scover line is 69167
turn is 114, now time is 6693.123034000397, scover line is 69167
turn is 115, now time is 6864.317148923874, scover line is 69570
turn is 116, now time is 6946.734330892563, scover line is 69570
turn is 117, now time is 7087.46843290329, scover line is 69570
turn is 118, now time is 7248.7134120464325, scover line is 69584
turn is 119, now time is 7272.333185911179, scover line is 69584
turn is 120, now time is 7294.786265850067, scover line is 69584
turn is 121, now time is 7327.595851898193, scover line is 69588
turn is 122, now time is 7400.128140926361, scover line is 69589
turn is 123, now time is 7423.593595981598, scover line is 69589
turn is 124, now time is 7445.452520847321, scover line is 69589
turn is 125, now time is 7586.521844863892, scover line is 69589
turn is 126, now time is 7608.964057922363, scover line is 69589
turn is 127, now time is 7632.442945957184, scover line is 69589
turn is 128, now time is 7754.150948047638, scover line is 69589
turn is 129, now time is 7865.923406839371, scover line is 69589
turn is 130, now time is 7889.22216796875, scover line is 69589
turn is 131, now time is 7940.27991104126, scover line is 69589
turn is 132, now time is 7962.660372018814, scover line is 69645
turn is 133, now time is 8054.640259027481, scover line is 69720
turn is 134, now time is 8225.823215007782, scover line is 69720
turn is 135, now time is 8318.060960054398, scover line is 69720
turn is 136, now time is 8350.440549850464, scover line is 69720
turn is 137, now time is 8383.156215906143, scover line is 69721
turn is 138, now time is 8406.476786851883, scover line is 69721
turn is 139, now time is 8433.538024902344, scover line is 69721
turn is 140, now time is 8460.619616031647, scover line is 69721
turn is 141, now time is 8611.74692082405, scover line is 69721
turn is 142, now time is 8772.987043857574, scover line is 69721
turn is 143, now time is 8804.883476018906, scover line is 69728
turn is 144, now time is 8827.946277856827, scover line is 69728
turn is 145, now time is 8850.232739925385, scover line is 69728
turn is 146, now time is 9011.530722856522, scover line is 69728
turn is 147, now time is 9034.3818089962, scover line is 69729
turn is 148, now time is 9055.95491194725, scover line is 70091
turn is 149, now time is 9077.281530857086, scover line is 70093
turn is 150, now time is 9100.641043901443, scover line is 70093
turn is 151, now time is 9182.897617816925, scover line is 70106
turn is 152, now time is 9206.524026870728, scover line is 70147
turn is 153, now time is 9228.306031942368, scover line is 70147
turn is 154, now time is 9250.468816041946, scover line is 70147
turn is 155, now time is 9274.019274950027, scover line is 70164
turn is 156, now time is 9375.952889919281, scover line is 70335
turn is 157, now time is 9467.736405849457, scover line is 70335
turn is 158, now time is 9490.693831920624, scover line is 70689
turn is 159, now time is 9514.228611946106, scover line is 70689
turn is 160, now time is 9536.43803191185, scover line is 71095
turn is 161, now time is 9559.997668981552, scover line is 71106
turn is 162, now time is 9583.723034858704, scover line is 71106
turn is 163, now time is 9695.236807823181, scover line is 71106
turn is 164, now time is 9722.562698841095, scover line is 71341
turn is 165, now time is 9745.923291921616, scover line is 71341
turn is 166, now time is 9769.056862831116, scover line is 71964
turn is 167, now time is 9899.684167861938, scover line is 71964
turn is 168, now time is 9922.433336019516, scover line is 71964
turn is 169, now time is 10043.136391878128, scover line is 71964
turn is 170, now time is 10076.384217977524, scover line is 71969
turn is 171, now time is 10098.85185289383, scover line is 71969
turn is 172, now time is 10125.995106935501, scover line is 71969
turn is 173, now time is 10148.144963979721, scover line is 71970
turn is 174, now time is 10170.992410898209, scover line is 71970
turn is 175, now time is 10203.205343961716, scover line is 71972
turn is 176, now time is 10226.452585935593, scover line is 71972
turn is 177, now time is 10357.376129865646, scover line is 71972
turn is 178, now time is 10518.676259040833, scover line is 71972
turn is 179, now time is 10551.459638834, scover line is 71975
turn is 180, now time is 10712.49881196022, scover line is 71975
turn is 181, now time is 10744.206857919693, scover line is 71976
turn is 182, now time is 10856.190448999405, scover line is 71976
turn is 183, now time is 10877.923887014389, scover line is 71978
turn is 184, now time is 10901.536797046661, scover line is 71978
turn is 185, now time is 10933.437227964401, scover line is 71978
turn is 186, now time is 10954.676273822784, scover line is 71980
turn is 187, now time is 10976.691448926926, scover line is 71983
turn is 188, now time is 11068.717279911041, scover line is 71983
turn is 189, now time is 11092.053261041641, scover line is 71983
turn is 190, now time is 11116.123986959457, scover line is 71983
